Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.ACCESS_COARSE_LOCATION
radar image	0.981706232455	215.177129868	42.4685838126	14148	0.835166736501	0.014981165234	0.421816369606	0.00755293485227
favorite route	0.831467965082	286.040134391	85.0530465852	14038	0.770804070391	0.0199692357538	0.421816369606	0.010878669705
route stop	0.831180144151	327.505708021	96.8389374522	14038	0.771791777072	0.0227980632689	0.421816369606	0.0124397468771
vector map	0.82908121974	955.460992446	297.967223674	13083	0.762278190452	0.0680602377255	0.421816369606	0.0367444950786
routing plan	0.827950596979	329.363078905	98.1145413397	14038	0.770480285533	0.0229243930912	0.421816369606	0.0125315906498
long route	0.825050732767	343.514605418	102.819196789	14038	0.769636096838	0.023885843379	0.421816369606	0.0130843633386
routing	0.823811527207	350.729806526	105.174156399	14038	0.769306334334	0.0243753139604	0.421816369606	0.0133649144854
best route	0.823811527207	350.729806526	105.174156399	14038	0.769306334334	0.0243753139604	0.421816369606	0.0133649144854
bus route	0.823811527207	350.729806526	105.174156399	14038	0.769306334334	0.0243753139604	0.421816369606	0.0133649144854
route	0.823811527207	350.729806526	105.174156399	14038	0.769306334334	0.0243753139604	0.421816369606	0.0133649144854
budget hotel	0.822617435672	196.658872727	59.5049752018	14151	0.767707365099	0.0137066872353	0.421816369606	0.00750949366582
discount hotel	0.822184169902	188.941394005	57.28568121	14152	0.767346132995	0.0131749645169	0.421816369606	0.00721819521619
hotel price	0.809669122755	188.200618307	58.7635567989	14152	0.762056351802	0.0131239878239	0.421816369606	0.0072398034447
trip right	0.803525402877	399.300129265	125.730958511	13981	0.760526640348	0.0277671624149	0.421816369606	0.0153913897683
next trip	0.803525402877	399.300129265	125.730958511	13981	0.760526640348	0.0277671624149	0.421816369606	0.0153913897683
trip day	0.803525402877	399.300129265	125.730958511	13981	0.760526640348	0.0277671624149	0.421816369606	0.0153913897683
trip	0.803525402877	399.300129265	125.730958511	13981	0.760526640348	0.0277671624149	0.421816369606	0.0153913897683
radar map	0.802941246322	1119.85712865	371.217037397	12905	0.751040527795	0.0798480240031	0.421816369606	0.0437111329165
boutique hotel	0.8014221464	204.482905797	64.9705170221	14147	0.758880342501	0.0142482074598	0.421816369606	0.00789908017176
route guidance	0.800745875411	275.718545673	88.3928963237	14024	0.757236696988	0.0192813966787	0.421816369606	0.0106739986514
hotel reservation	0.794352110118	194.959963732	63.0421962112	14147	0.755652447929	0.0135936764727	0.421816369606	0.00756338414468
hotel room	0.793030608007	212.782481386	68.8387038867	14147	0.755562764853	0.0148179460003	0.421816369606	0.0082557805251
hotel review	0.791126169666	210.920599229	68.5609169168	14146	0.754685326378	0.0146912144406	0.421816369606	0.00819305570316
map data	0.788906220519	1221.05290859	410.8536412	12923	0.748237029103	0.0863297752404	0.421816369606	0.0478396619895
route map	0.78827310621	1215.6198653	409.903268394	12923	0.747833014555	0.0859786794523	0.421816369606	0.0476525308891
on-board map	0.78735576799	1314.47592595	439.141360969	12907	0.749579703482	0.0924289386554	0.421816369606	0.0514076362253
interactive map	0.785407060546	1303.40161363	438.002947093	12907	0.74847720227	0.0917216591811	0.421816369606	0.0510496177511
online map	0.784931243137	1330.63445694	445.961594791	12907	0.748979744519	0.0934589563288	0.421816369606	0.0520812632425
offline map	0.784802583588	1346.38963249	450.519249693	12905	0.74928097125	0.0944742700334	0.421816369606	0.0526767378689
map view	0.781252800922	1414.40641052	472.600462932	12905	0.749550216494	0.0987754918028	0.421816369606	0.0553179782322
map direction	0.780312602856	1420.13168874	475.138316536	12905	0.749303099182	0.0991356812346	0.421816369606	0.0555602135693
detailed map	0.780082902452	1426.41163379	477.07102069	12905	0.749369389015	0.0995304349799	0.421816369606	0.0558009689985
local map	0.779042681998	1437.82553672	481.251210631	12905	0.749227741259	0.100247021275	0.421816369606	0.0562581129031
location map	0.778704437427	1435.98671142	481.122387368	12905	0.749037554685	0.100131653443	0.421816369606	0.0562004308978
world map	0.778300887486	1452.15438513	485.89252816	12905	0.74928753023	0.101145000337	0.421816369606	0.0568142270547
gps map	0.777974905063	1458.15704212	487.852513749	12905	0.749306208555	0.101520650219	0.421816369606	0.0570476534905
map	0.777974905063	1458.15704212	487.852513749	12905	0.749306208555	0.101520650219	0.421816369606	0.0570476534905
map display	0.777974905063	1458.15704212	487.852513749	12905	0.749306208555	0.101520650219	0.421816369606	0.0570476534905
mapping	0.777974905063	1458.15704212	487.852513749	12905	0.749306208555	0.101520650219	0.421816369606	0.0570476534905
campus map	0.777974905063	1458.15704212	487.852513749	12905	0.749306208555	0.101520650219	0.421816369606	0.0570476534905
luxury hotel	0.777912845347	192.282168133	64.5707415313	14145	0.748608097858	0.0134113401604	0.421816369606	0.00752969364635
live map	0.777790182529	1450.55545943	486.021054432	12905	0.749030802061	0.101044885622	0.421816369606	0.0567711220059
weather industry	0.759632593623	474.433629583	166.499965396	13836	0.740222752091	0.0331529876637	0.421816369606	0.0187890945995
hotel deal	0.741469284273	229.118034706	82.9357373181	14146	0.734226134232	0.0159385150197	0.421816369606	0.00914791780088
hotel offer	0.739158209713	229.289017328	83.4107536909	14146	0.733256108825	0.0159502196478	0.421816369606	0.00916685538867
hotel restaurant	0.737337115994	379.225110798	140.615619978	13878	0.729502496335	0.0265988022109	0.421816369606	0.0152392334304
hotel saving	0.736988047513	219.857094689	80.4525208788	14146	0.732101415645	0.0153041404519	0.421816369606	0.0088036355408
book hotel	0.736777503226	230.258264269	84.1832122695	14146	0.73227701003	0.0160165642573	0.421816369606	0.00921791382912
hotel booking	0.736777503226	230.258264269	84.1832122695	14146	0.73227701003	0.0160165642573	0.421816369606	0.00921791382912
hotel detail	0.735012176362	232.855843539	85.4277299807	14146	0.731598684042	0.0161943235312	0.421816369606	0.00933054565901
hotel feature	0.733628623552	235.141041832	86.4970764943	14146	0.731073303922	0.0163506526463	0.421816369606	0.00942888480085
listed hotel	0.733223104331	236.506558079	87.0597273704	14146	0.730936963196	0.0164440431245	0.421816369606	0.0094854093999
local hotel	0.731313730045	232.133326641	85.8484487323	14146	0.730020852197	0.0161448862218	0.421816369606	0.00932169838688
hotel	0.73089968987	241.282292	89.2059713088	14146	0.73007824721	0.0167705260176	0.421816369606	0.00968832854447
best hotel	0.73089968987	241.282292	89.2059713088	14146	0.73007824721	0.0167705260176	0.421816369606	0.00968832854447
local weather	0.726561711288	521.703148715	196.333227303	13799	0.726569246545	0.036429995322	0.421816369606	0.0210493778148
weather information	0.725465297337	513.004020238	193.720761413	13799	0.725889389416	0.0358443177848	0.421816369606	0.0207177761976
current weather	0.724735325638	498.420524662	188.684474255	13806	0.725392080465	0.0348438109606	0.421816369606	0.0201426184016
weather report	0.724487191255	487.11448889	184.763462157	13806	0.725004426967	0.0340803601111	0.421816369606	0.0196962344936
late weather	0.723087781275	525.795597101	199.229622734	13799	0.725210079204	0.0367052774706	0.421816369606	0.0212542571481
severe weather	0.721205094498	459.315081923	175.37886167	13836	0.723679635768	0.0321304622732	0.421816369606	0.0186061779899
city map	0.719915250082	1690.77241524	653.912650212	12523	0.721108536133	0.118953108707	0.421816369606	0.0687349045924
weather condition	0.719427124506	464.203426002	177.800189367	13836	0.723054224134	0.0324613162605	0.421816369606	0.018820462458
day weather	0.714127338368	562.816807262	216.692395825	13785	0.722014320079	0.0392266513312	0.421816369606	0.0228514658503
news weather	0.714127338368	562.816807262	216.692395825	13785	0.722014320079	0.0392266513312	0.421816369606	0.0228514658503
weather	0.714127338368	562.816807262	216.692395825	13785	0.722014320079	0.0392266513312	0.421816369606	0.0228514658503
forecast	0.69841250975	188.73809131	74.8301029766	14187	0.716088266343	0.0131289322406	0.421816369606	0.00772655353794
