Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.ACCESS_FINE_LOCATION
favorite route	1.18423937764	354.677486008	25.3405710026	14181	0.933317455486	0.0244004785019	0.428470919325	0.0111403042041
route stop	1.18304768659	405.54574618	28.4720789411	14180	0.934398825824	0.0278046329728	0.428470919325	0.0127233180441
routing plan	1.18154968222	408.133338417	28.915011606	14180	0.933840245354	0.0279770775979	0.428470919325	0.0128121584786
long route	1.17970253232	426.050411859	30.2913460917	14180	0.933621358195	0.0291694468967	0.428470919325	0.0133777485328
bus route	1.17874109377	435.170358087	31.0	14180	0.933500705349	0.0297752504709	0.428470919325	0.013665875882
route	1.17874109377	435.170358087	31.0	14180	0.933500705349	0.0297752504709	0.428470919325	0.013665875882
routing	1.17874109377	435.170358087	31.0	14180	0.933500705349	0.0297752504709	0.428470919325	0.013665875882
best route	1.17874109377	435.170358087	31.0	14180	0.933500705349	0.0297752504709	0.428470919325	0.013665875882
radar image	1.16082962372	228.092096612	18.5189532433	14358	0.924906230868	0.0156376427011	0.428470919325	0.00722945150843
route guidance	1.12175423155	336.169389365	35.0117058501	14169	0.905674867871	0.0231758334109	0.428470919325	0.0108812469282
radar map	1.11237173772	1338.52671636	162.51877828	12840	0.891729611887	0.0944052046547	0.428470919325	0.0440034443785
vector map	1.10904249217	1129.5304983	138.028130358	13075	0.891107103658	0.0795190308072	0.428470919325	0.0371587309056
map data	1.10021642743	1465.60941124	179.529617528	12855	0.890872677392	0.102342670563	0.428470919325	0.0482275747176
route map	1.09916819079	1458.97987547	179.903538162	12855	0.890227982866	0.101926919568	0.428470919325	0.0480441901276
interactive map	1.09571238543	1564.8214562	190.610081482	12837	0.891416966489	0.108654412982	0.428470919325	0.0514608213439
on-board map	1.09421616997	1575.37163068	192.523451682	12837	0.891100182583	0.109306897647	0.428470919325	0.0518261926115
online map	1.09239690614	1595.75610248	195.329177101	12837	0.890943675699	0.110564890805	0.428470919325	0.0525060178115
offline map	1.09155909054	1614.754669	197.27033374	12836	0.891132664592	0.111741892101	0.428470919325	0.0531198699207
map view	1.08488685595	1694.14830389	207.899680767	12836	0.890696931705	0.1165953897	0.428470919325	0.0557589113702
map direction	1.08428762771	1702.01583485	208.901381528	12836	0.890680046348	0.117073461344	0.428470919325	0.0560189146453
detailed map	1.08369419408	1709.45311542	209.873495241	12836	0.890652537158	0.117524913239	0.428470919325	0.0562654376951
local map	1.08241440881	1722.84912339	211.821808027	12836	0.890512745818	0.118336903473	0.428470919325	0.0567152594811
location map	1.08226033491	1720.77671929	211.846763859	12836	0.890383840564	0.118211383775	0.428470919325	0.0566552381317
world map	1.08130064132	1740.10531688	213.836949352	12836	0.890561275506	0.119380676734	0.428470919325	0.0572802024576
live map	1.08104985291	1738.27764433	213.969484629	12836	0.890398361225	0.119270243559	0.428470919325	0.0572305091746
gps map	1.08082521997	1747.29958975	214.686900753	12836	0.89057676911	0.119815106245	0.428470919325	0.0575160204768
map	1.08082521997	1747.29958975	214.686900753	12836	0.89057676911	0.119815106245	0.428470919325	0.0575160204768
map display	1.08082521997	1747.29958975	214.686900753	12836	0.89057676911	0.119815106245	0.428470919325	0.0575160204768
mapping	1.08082521997	1747.29958975	214.686900753	12836	0.89057676911	0.119815106245	0.428470919325	0.0575160204768
campus map	1.08082521997	1747.29958975	214.686900753	12836	0.89057676911	0.119815106245	0.428470919325	0.0575160204768
budget hotel	1.02738230585	229.274503108	35.1195938045	14336	0.867169523773	0.0157411728189	0.428470919325	0.00775076503613
discount hotel	1.02713966503	220.065042577	33.8104513916	14337	0.866822705638	0.0151174046371	0.428470919325	0.00744241011869
hotel price	1.01878071609	220.403789721	34.9123479177	14337	0.863258357891	0.0151403226087	0.428470919325	0.00748464287168
boutique hotel	1.0134000772	239.770937485	38.6048087635	14330	0.861321220388	0.0164567403643	0.428470919325	0.00816063984078
hotel review	1.00761257109	248.732107386	40.8013541634	14329	0.859078968127	0.0170624693577	0.428470919325	0.00848773046288
hotel reservation	1.00485789809	229.356598343	38.1485787302	14331	0.857391250713	0.0157521278269	0.428470919325	0.00784196696391
hotel room	1.00287687099	249.553017038	41.6047440693	14330	0.857105838735	0.017116643888	0.428470919325	0.0085353471244
city map	0.994239665787	1999.07995759	356.463556366	12417	0.848670358134	0.13867014913	0.428470919325	0.0690532221493
luxury hotel	0.986648656083	225.794452579	40.0385103029	14327	0.849384704331	0.0155155391849	0.428470919325	0.00779294567547
current location	0.970624527492	1366.60163159	275.335253462	12826	0.832310696002	0.0962897196061	0.428470919325	0.0481337032437
hotel restaurant	0.959335336535	442.067725774	87.2594820187	14021	0.835150204384	0.0305652807659	0.428470919325	0.0155173313729
trip	0.953689719706	435.906448671	84.9722261393	14172	0.836867527414	0.0298404463503	0.428470919325	0.0152696609642
trip right	0.953689719706	435.906448671	84.9722261393	14172	0.836867527414	0.0298404463503	0.428470919325	0.0152696609642
trip day	0.953689719706	435.906448671	84.9722261393	14172	0.836867527414	0.0298404463503	0.428470919325	0.0152696609642
next trip	0.953689719706	435.906448671	84.9722261393	14172	0.836867527414	0.0298404463503	0.428470919325	0.0152696609642
time location	0.953470941752	1657.9297115	329.027367974	12867	0.834406403956	0.114143733872	0.428470919325	0.0582480382115
locator	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
new location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
gps location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
precise location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
different location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
near location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
various location	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
locate	0.952371594317	1674.05124978	332.253191266	12867	0.834395426502	0.115125875085	0.428470919325	0.0588152099275
road route	0.945225509138	478.671008715	97.7267512366	14031	0.830452583222	0.0329897906319	0.428470919325	0.0168972138823
local restaurant	0.940521932491	384.844529876	78.3142434248	14212	0.830912749711	0.0263649125733	0.428470919325	0.0135775906807
best restaurant	0.938919173225	401.347715483	81.7991220494	14212	0.830695110275	0.0274644607996	0.428470919325	0.0141635447213
restaurant	0.938919173225	401.347715483	81.7991220494	14212	0.830695110275	0.0274644607996	0.428470919325	0.0141635447213
hotel deal	0.937383128348	270.19077727	55.4945196692	14328	0.829606923645	0.0185085111842	0.428470919325	0.00954752863916
place locator	0.936892125098	1322.63454975	281.190201816	13108	0.824675232414	0.0916546355039	0.428470919325	0.0470164385426
hotel offer	0.93637774465	270.625759109	55.7483780387	14328	0.829188738648	0.0185377557843	0.428470919325	0.00956772212556
