Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.CAMERA
camera fun	2.59733117153	453.186900423	286.09305339	5288	0.613011211904	0.0789360995005	0.172490619137	0.0216721374828
silent camera	2.57839167325	456.890759542	292.394647691	5284	0.609768661089	0.0795853428812	0.172490619137	0.0219654493208
spy camera	2.57394518133	491.843983357	315.495054076	5253	0.609216153997	0.0856148547779	0.172490619137	0.0236673029266
camera flash	2.5684477038	504.949071776	327.224377154	5211	0.606783444516	0.0883403727772	0.172490619137	0.024395328592
camera permission	2.56062215961	496.802536122	321.659999532	5249	0.606994840301	0.0864635589195	0.172490619137	0.0239933904683
device camera	2.55482880809	506.255373219	329.534297965	5234	0.605721021297	0.0881938764574	0.172490619137	0.0245013388598
camera application	2.54779309455	529.014605998	345.204654981	5223	0.605128060672	0.0919703168776	0.172490619137	0.0256279098551
video camera	2.52557624617	511.472476843	338.978018284	5242	0.601413579948	0.0888980487699	0.172490619137	0.0249311238018
camera gallery	2.50753569196	497.147860287	334.466624432	5246	0.597810487218	0.0865636533102	0.172490619137	0.024378942446
gallery camera	2.50753569196	497.147860287	334.466624432	5246	0.597810487218	0.0865636533102	0.172490619137	0.024378942446
front-facing camera	2.49020887187	588.346675824	398.336169681	5183	0.596287528971	0.101942702262	0.172490619137	0.0289248019907
front camera	2.48773339781	635.790387184	429.087494615	5159	0.597054740314	0.109717581604	0.172490619137	0.0312171048839
camera flashlight	2.48760285447	600.04319878	406.433246128	5178	0.596182058523	0.103848859923	0.172490619137	0.0295050552565
camera function	2.48672778346	538.477400954	366.387910965	5221	0.595091218396	0.093494142518	0.172490619137	0.0265263048757
smartphone camera	2.48127253312	611.367166189	416.727013924	5158	0.594660662432	0.105967803501	0.172490619137	0.0301387834226
ip camera	2.48122614792	554.164196716	378.240321656	5209	0.594338815178	0.0961562394893	0.172490619137	0.027333622138
fast camera	2.47083094479	597.220233839	409.689157155	5177	0.593122121197	0.103428724512	0.172490619137	0.0295177471562
camera roll	2.46747022369	529.539786675	365.167391838	5231	0.591858207235	0.0919253761427	0.172490619137	0.0262285171938
built-in camera	2.46319564894	669.368474864	459.156382632	5131	0.593135782892	0.115401026291	0.172490619137	0.0330829285148
camera view	2.45995964076	677.967770379	465.287395651	5131	0.59301526949	0.11671054087	0.172490619137	0.0335147504113
camera image	2.45871049688	653.610374487	450.692508331	5137	0.591876001282	0.112874175988	0.172490619137	0.0323728565554
camera effect	2.45620631103	687.685364008	472.256611416	5131	0.592861866006	0.118185693329	0.172490619137	0.034003927516
camera feature	2.45512706381	697.392913889	478.419392282	5130	0.593115848702	0.119674942842	0.172490619137	0.0344691693882
speed camera	2.45510139656	524.073955461	364.981453122	5231	0.589472771215	0.0910629402015	0.172490619137	0.0260628344449
back camera	2.45293999694	705.646911419	483.999916372	5130	0.593156636856	0.120920083434	0.172490619137	0.0348747311149
camera distance	2.44942357992	583.987488166	407.753846074	5178	0.588850608524	0.101351745273	0.172490619137	0.0290730925844
toy camera	2.44872611091	716.423768329	491.759835971	5130	0.592975906791	0.122540513093	0.172490619137	0.0354181403699
camera	2.44872611091	716.423768329	491.759835971	5130	0.592975906791	0.122540513093	0.172490619137	0.0354181403699
best camera	2.44872611091	716.423768329	491.759835971	5130	0.592975906791	0.122540513093	0.172490619137	0.0354181403699
recent transaction	2.35973716409	235.478724085	171.043841548	5643	0.579251298679	0.0400577658162	0.172490619137	0.0119172890957
perform transaction	2.35101414562	228.388437836	167.158325058	5643	0.577399334948	0.0388985399713	0.172490619137	0.0115955312762
transaction history	2.34880682941	238.276927273	174.320873859	5643	0.577504113253	0.0405144886424	0.172490619137	0.0120953858212
late transaction	2.34456880529	232.196917493	170.590343892	5643	0.576475325199	0.0395215548949	0.172490619137	0.0118077879158
financial transaction	2.34318312732	238.650065916	175.275866903	5643	0.576552583431	0.0405753595065	0.172490619137	0.0121343202632
transaction	2.34318312732	238.650065916	175.275866903	5643	0.576552583431	0.0405753595065	0.172490619137	0.0121343202632
team transaction	2.33104215276	204.082330289	152.22317022	5643	0.57277344862	0.0349032763284	0.172490619137	0.0104451659389
camera zoom	2.29824876959	506.385617034	394.10172348	5241	0.562346181063	0.088107123965	0.172490619137	0.0263979637815
digital camera	2.21674880569	451.837865092	373.515915227	5274	0.547447501745	0.078912095616	0.172490619137	0.0241954086632
