Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.GET_ACCOUNTS
bangla movie	1.70970715753	28.3819857583	3.96997626389	11015	0.8772879289	0.00257004473765	0.323766526927	0.000948431943427
bangla type	1.69387369088	28.8454740052	4.22737002606	11015	0.872180027153	0.00261190489066	0.323766526927	0.000969565361064
bangla typing	1.69387369088	28.8454740052	4.22737002606	11015	0.872180027153	0.00261190489066	0.323766526927	0.000969565361064
bangla book	1.68314346548	29.4598227805	4.45307568901	11014	0.868690796423	0.00266762620168	0.323766526927	0.000994192444358
bangla natok	1.64435808816	29.7572754052	5.0	11014	0.85614522595	0.00269448835782	0.323766526927	0.00101894624623
bangla	1.64435808816	29.7572754052	5.0	11014	0.85614522595	0.00269448835782	0.323766526927	0.00101894624623
bangla news	1.64435808816	29.7572754052	5.0	11014	0.85614522595	0.00269448835782	0.323766526927	0.00101894624623
free cheat	0.973831912857	182.01361586	103.161524631	10834	0.638252042399	0.0165226389697	0.323766526927	0.00836021050367
cheat guide	0.954310710957	173.088868221	100.922548663	10834	0.631684877183	0.0157252176568	0.323766526927	0.00803293415273
local deal	0.942405743959	248.037907055	147.369598009	10740	0.627296912372	0.0225734484312	0.323766526927	0.011591788721
cheat	0.940827917787	208.387975069	123.446286203	10822	0.62798812356	0.0188921709318	0.323766526927	0.00972807192025
best cheat	0.940827917787	208.387975069	123.446286203	10822	0.62798812356	0.0188921709318	0.323766526927	0.00972807192025
good deal	0.922271799002	243.241319717	148.648257021	10741	0.620688413664	0.022144571722	0.323766526927	0.0114886569358
special deal	0.921941759224	245.80886057	150.310928508	10737	0.620541733454	0.0223812381414	0.323766526927	0.0116126700794
late deal	0.912934893519	262.53429527	162.267141994	10734	0.618016494861	0.0238742760419	0.323766526927	0.0124535028954
great deal	0.89550293411	274.924438595	173.765071877	10734	0.612727581497	0.0249728699773	0.323766526927	0.0131538069969
best deal	0.891032694399	310.631607038	196.872840231	10727	0.612076620628	0.0281429583897	0.323766526927	0.0148780290015
exclusive deal	0.891032694399	310.631607038	196.872840231	10727	0.612076620628	0.0281429583897	0.323766526927	0.0148780290015
deal	0.891032694399	310.631607038	196.872840231	10727	0.612076620628	0.0281429583897	0.323766526927	0.0148780290015
live feed	0.738784973078	301.607596636	234.591187826	10724	0.562492130486	0.027355190541	0.323766526927	0.0157192338091
feeding	0.735492793229	309.887291564	241.869595713	10724	0.561637378181	0.0280850513853	0.323766526927	0.0161753360288
r feed	0.735492793229	309.887291564	241.869595713	10724	0.561637378181	0.0280850513853	0.323766526927	0.0161753360288
news feed	0.735492793229	309.887291564	241.869595713	10724	0.561637378181	0.0280850513853	0.323766526927	0.0161753360288
feed	0.735492793229	309.887291564	241.869595713	10724	0.561637378181	0.0280850513853	0.323766526927	0.0161753360288
casually chat	0.72538036397	195.047553814	155.011210201	10792	0.557185175359	0.0177524992823	0.323766526927	0.0102623424706
single day	0.720663434795	179.17220403	142.488755812	10862	0.557021915615	0.01622764329	0.323766526927	0.00942983084174
single	0.720663434795	179.17220403	142.488755812	10862	0.557021915615	0.01622764329	0.323766526927	0.00942983084174
new single	0.720663434795	179.17220403	142.488755812	10862	0.557021915615	0.01622764329	0.323766526927	0.00942983084174
entire feed	0.714804559904	271.97232355	218.471588467	10746	0.554543173819	0.0246844260962	0.323766526927	0.0143778813877
twitter feed	0.700269409849	267.25595916	218.906494985	10746	0.549725625419	0.0242667527342	0.323766526927	0.0142523659272
local single	0.695366100454	156.857622956	129.233253328	10862	0.548279011878	0.0142353797756	0.323766526927	0.00838705626583
chat application	0.695212991677	199.858738879	165.237411931	10786	0.547413985154	0.0181923638042	0.323766526927	0.0107031793501
naughty chat	0.69143461621	197.164823363	163.825993436	10788	0.546176839376	0.0179482808436	0.323766526927	0.0105828271466
valuable feed	0.689995326467	230.76420443	192.263813395	10746	0.545505722332	0.0210229718095	0.323766526927	0.012401513231
conference	0.683069772646	119.972509097	100.222359297	10921	0.544846980188	0.0108661179075	0.323766526927	0.00645524518174
conference division	0.683069772646	119.972509097	100.222359297	10921	0.544846980188	0.0108661179075	0.323766526927	0.00645524518174
webcam chat	0.679685765724	199.156894122	167.932577038	10792	0.542529573219	0.0181197389902	0.323766526927	0.0107616156419
anonymous chat	0.667222593015	180.311245781	154.74990118	10796	0.538144298187	0.0164273080221	0.323766526927	0.00982267148312
press conference	0.665238622213	105.990305224	90.7493505135	10921	0.538733814627	0.0096118979241	0.323766526927	0.00576763084452
random chat	0.663737897701	195.718984806	168.810419913	10776	0.536908634181	0.0178384977848	0.323766526927	0.0106865645897
college football	0.643788608168	145.196684656	127.857078233	10880	0.531751268027	0.0131695323729	0.323766526927	0.0080048595142
gold coin	0.642308970195	244.297094765	216.924466646	10714	0.529674055171	0.0222933447279	0.323766526927	0.0135211973091
conference standing	0.638502318323	107.544065563	95.3227963197	10921	0.530121403589	0.00975142910284	0.323766526927	0.00594725636547
unique style	0.637125684605	105.895694652	94.1710858732	10907	0.529301738019	0.00961560860902	0.323766526927	0.00586516902246
group chat	0.63662305106	266.179490143	236.583950027	10759	0.529432868176	0.0241428713593	0.323766526927	0.0147390413699
chat room	0.635494779607	213.503077714	190.546983207	10784	0.528407487991	0.0194137774916	0.323766526927	0.0118451543761
football team	0.635271232668	150.208110043	133.677012018	10880	0.529115823163	0.0136178854056	0.323766526927	0.0083223922506
live chat	0.634137960779	268.527651648	239.388434355	10759	0.528685070325	0.0243506668158	0.323766526927	0.0148900966258
facebook chat	0.634121456922	256.632510909	229.049906833	10759	0.528395720196	0.0232971198572	0.323766526927	0.014238293153
chat history	0.633268198771	272.83224163	243.400253909	10759	0.528506523684	0.0247313624477	0.323766526927	0.0151339009568
different chat	0.632839981761	274.942444498	245.36959058	10759	0.528418383512	0.0249178791607	0.323766526927	0.0152534969681
chat	0.632839981761	274.942444498	245.36959058	10759	0.528418383512	0.0249178791607	0.323766526927	0.0152534969681
go chat	0.632839981761	274.942444498	245.36959058	10759	0.528418383512	0.0249178791607	0.323766526927	0.0152534969681
chatting	0.632839981761	274.942444498	245.36959058	10759	0.528418383512	0.0249178791607	0.323766526927	0.0152534969681
private chat	0.63235093473	232.590414835	208.268997593	10773	0.527584096604	0.0211338425353	0.323766526927	0.012924259401
football game	0.624960848545	142.787242078	128.876201093	10880	0.525603446718	0.0129538236511	0.323766526927	0.00796410082291
football fan	0.624082634893	149.250312479	134.780184929	10880	0.525472841265	0.0135322264207	0.323766526927	0.00832665408247
american football	0.623700682813	157.64832476	142.320614434	10880	0.525548829101	0.014282781995	0.323766526927	0.00879390634091
football news	0.623040413323	158.805077075	143.472003164	10880	0.52536261416	0.0143860749389	0.323766526927	0.00886157193394
football	0.623040413323	158.805077075	143.472003164	10880	0.52536261416	0.0143860749389	0.323766526927	0.00886157193394
free chat	0.617913189129	243.875821564	222.367021371	10768	0.523066091543	0.0221466192968	0.323766526927	0.0136684014815
fantasy football	0.617318705681	124.412994716	113.607842495	10880	0.522697912391	0.0113057365964	0.323766526927	0.00697783228903
unique set	0.602925700753	122.800366603	114.00535866	10904	0.518570091439	0.011136536667	0.323766526927	0.00694220999862
legal	0.594598904457	182.384417549	171.659960352	10813	0.515145639738	0.0165873616259	0.323766526927	0.0103791849521
annual subscription	0.594574954453	117.662203942	110.445482391	10907	0.515818672459	0.0106726357475	0.323766526927	0.00668721779872
design team	0.591632956467	402.310714303	380.288297924	10588	0.514070051224	0.0366059454333	0.323766526927	0.0229427167842
current period	0.590345584214	70.9510244164	66.9321385757	10959	0.514573519179	0.00643257837314	0.323766526927	0.00404219058345
current subscription	0.582872619731	125.849501988	119.843447756	10907	0.512222683309	0.0114067994823	0.323766526927	0.00720274837277
special team	0.582573708276	408.57864005	390.537157706	10588	0.511288403004	0.0371550691741	0.323766526927	0.0234269238004
development team	0.581969799372	428.355328562	409.013436641	10588	0.511549207903	0.0388835795312	0.323766526927	0.0245483499517
support team	0.580847411979	426.885798844	408.258127747	10588	0.511152371767	0.0387553540399	0.323766526927	0.0244831264575
national team	0.580705987929	423.067692281	404.823281457	10588	0.511018607162	0.0384220408142	0.323766526927	0.0242704984825
team member	0.580666607891	425.936014787	407.480821242	10588	0.511072006676	0.0386724613449	0.323766526927	0.0244324949731
correct operation	0.579523964376	41.5396774109	39.7266259611	10992	0.511155001363	0.00376485503523	0.323766526927	0.0023824075334
legal information	0.578137034065	127.519309485	122.522708692	10875	0.509991522284	0.0115900100603	0.323766526927	0.00733024590829
available subscription	0.577383414846	133.984505407	128.403900689	10907	0.510634244097	0.0121351954928	0.323766526927	0.00769219331289
subscription	0.577383414846	133.984505407	128.403900689	10907	0.510634244097	0.0121351954928	0.323766526927	0.00769219331289
room number	0.575479467484	180.280967036	173.353908041	10851	0.509794083506	0.0163427046754	0.323766526927	0.0103671799442
subscription service	0.574785931945	124.33131526	119.660899576	10907	0.509570829314	0.011270744365	0.323766526927	0.0071528895323
correct order	0.574474830407	46.1382286979	44.3950950053	10992	0.509627028045	0.00417989227368	0.323766526927	0.00265408002413
legal action	0.573025831408	121.056730572	117.153954989	10875	0.508191856661	0.0110091038577	0.323766526927	0.00698339789398
monthly subscription	0.56995398297	125.64204929	121.666606963	10907	0.508037410391	0.0113882104331	0.323766526927	0.00725011451592
room	0.569677924708	186.138011143	180.238345776	10851	0.508051372933	0.0168646990692	0.323766526927	0.0107407099446
new room	0.569677924708	186.138011143	180.238345776	10851	0.508051372933	0.0168646990692	0.323766526927	0.0107407099446
living room	0.569480201627	177.598518269	172.148570591	10851	0.507791269537	0.0161034530339	0.323766526927	0.0102532053842
unique feature	0.568105300596	122.323286985	118.805566774	10904	0.507294274733	0.0110937511808	0.323766526927	0.00706894707747
unique combination	0.567442504397	103.472825004	100.701869855	10910	0.506785745783	0.0093951132988	0.323766526927	0.00598559687077
