Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.GET_TASKS
radar image	2.47828498816	143.080611108	108.118714998	5436	0.569589948054	0.0256459121281	0.163959896811	0.00736395773059
configurable	2.2163324731	123.332541807	111.203049932	5438	0.52585853129	0.0221767968162	0.163959896811	0.0068754570749
configure	2.2163324731	123.332541807	111.203049932	5438	0.52585853129	0.0221767968162	0.163959896811	0.0068754570749
configuration	2.2163324731	123.332541807	111.203049932	5438	0.52585853129	0.0221767968162	0.163959896811	0.0068754570749
full featured	1.93131892782	159.656091954	172.839873124	5423	0.480174524573	0.028598589869	0.163959896811	0.00974718471732
full feature	1.93131892782	159.656091954	172.839873124	5423	0.480174524573	0.028598589869	0.163959896811	0.00974718471732
gold coin	1.8018421803	214.20407685	255.286391549	5302	0.456247977899	0.0388317897354	0.163959896811	0.0137632055698
daily workout	1.50516451897	135.231801868	195.23327561	5416	0.409216619499	0.0243606836635	0.163959896811	0.00968764884727
daily devotional	1.42790439247	131.727200792	200.372650365	5421	0.396649382205	0.0237229735999	0.163959896811	0.00973557255972
daily horoscope	1.23322904818	133.732740506	232.943997627	5415	0.36471563805	0.0241014924958	0.163959896811	0.010749200813
daily star	1.23321334903	145.835576394	253.953302416	5405	0.364781473732	0.0262727249594	0.163959896811	0.01171988974
daily basis	1.22506849053	159.404805386	278.651247636	5405	0.363891342868	0.0286472337942	0.163959896811	0.0128416994906
daily videocasts	1.22146870992	178.229131963	311.964900759	5395	0.363588946551	0.0319795091397	0.163959896811	0.0143701346366
daily deal	1.22015609936	158.147820392	277.464415442	5405	0.363047241062	0.0284277580784	0.163959896811	0.0127700585083
desktop application	1.20731149725	167.022737117	295.676096941	5397	0.360975055096	0.0300183419458	0.163959896811	0.0135641074712
desktop	1.20630892025	194.531329518	343.295689428	5397	0.361698692453	0.034790349558	0.163959896811	0.0157665050113
daily activity	1.20404925234	174.041296964	308.598253461	5395	0.360603056278	0.0312515723413	0.163959896811	0.0141486734998
desktop background	1.19457255171	179.924582051	320.832089822	5397	0.359305411504	0.0322623301434	0.163959896811	0.0146797804841
smartphone desktop	1.18528618985	172.688002513	310.282535791	5397	0.357553906123	0.0310049687585	0.163959896811	0.0141583764747
full article	1.16065952968	150.424603787	276.14893385	5391	0.352634635098	0.0271454751337	0.163959896811	0.01250508729
cute theme	1.12718226373	278.83725836	529.814141293	5186	0.344817629054	0.0510238905895	0.163959896811	0.0237057750836
