Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.READ_CALENDAR
device calendar	13.9520598744	105.500776052	227.743535918	603	0.316586877143	0.148907071972	0.0215759849906	0.00976912265389
event calendar	13.5684006491	131.994552372	291.963076804	590	0.311339019016	0.18281931898	0.0215759849906	0.0124284014181
calendar event	13.5684006491	131.994552372	291.963076804	590	0.311339019016	0.18281931898	0.0215759849906	0.0124284014181
calendar view	13.4387276243	132.728908348	297.19986625	590	0.308723016904	0.183649646243	0.0215759849906	0.0126034467225
calendar	13.4108141124	139.943846913	312.000109202	590	0.309648674397	0.191718647269	0.0215759849906	0.0132488261056
gregorian calendar	12.9388142857	114.521406619	271.108905263	603	0.296972004249	0.159606954667	0.0215759849906	0.0113048285613
bangla calendar	12.419256895	103.766806372	259.615274689	612	0.285558401969	0.144972923371	0.0215759849906	0.0106526172919
class schedule	4.44579462017	61.2198482208	466.159960631	657	0.116083033884	0.0852383129935	0.0215759849906	0.0154602429893
scheduler	4.43424501223	69.2791609016	524.299320747	660	0.116714407687	0.0949967647724	0.0215759849906	0.0174008701234
scheduling	4.43424501223	69.2791609016	524.299320747	660	0.116714407687	0.0949967647724	0.0215759849906	0.0174008701234
schedule	4.43424501223	69.2791609016	524.299320747	660	0.116714407687	0.0949967647724	0.0215759849906	0.0174008701234
event information	3.92058365953	98.9856429934	848.125056805	614	0.10451327708	0.13883258936	0.0215759849906	0.0277647367436
event activity	3.86712243088	98.9282933883	858.067569364	614	0.103373794223	0.138763315057	0.0215759849906	0.028054522243
local event	3.85463659445	101.936780675	884.665576494	614	0.103321039053	0.142382377085	0.0215759849906	0.0289224424592
event organizer	3.83311723292	91.064247671	803.300403274	610	0.101820043508	0.129894297097	0.0215759849906	0.0262184759306
special event	3.83104800679	100.842198656	880.665808008	614	0.102742104976	0.141069174211	0.0215759849906	0.0287731005706
event date	3.81257661253	89.2543353736	784.945430518	622	0.102098329073	0.125488634564	0.0215759849906	0.0256273383528
new event	3.78810040042	121.854125032	1059.39006637	612	0.103157438503	0.166046794418	0.0215759849906	0.0346284061739
event	3.78810040042	121.854125032	1059.39006637	612	0.103157438503	0.166046794418	0.0215759849906	0.0346284061739
important event	3.77635804617	105.896156691	933.009313227	614	0.101930502589	0.147099211055	0.0215759849906	0.0304557185131
current event	3.77184813829	89.3686411854	793.351870975	622	0.101242284454	0.125629154859	0.0215759849906	0.0258771257083
late event	3.76854428104	105.283145231	929.733905848	614	0.101721169831	0.146372323513	0.0215759849906	0.0303417287488
live event	3.75941490758	108.573593943	958.439357073	614	0.101754710512	0.150259565051	0.0215759849906	0.0312796948586
schedule information	3.51916537219	48.3911295316	449.796654151	682	0.0971343158475	0.0662537201987	0.0215759849906	0.0146044730207
view schedule	3.51302152969	47.2363148475	440.107517295	682	0.0969260545268	0.0647750446402	0.0215759849906	0.0142865804451
busy schedule	3.49804306508	41.0495866571	385.669948626	682	0.0961980487485	0.0567728512879	0.0215759849906	0.0125093672398
personal schedule	3.44987669344	49.8291155428	470.64108131	682	0.0957386529413	0.0680884573796	0.0215759849906	0.0152576863524
backup	3.11164361993	21.2076261012	218.143179363	713	0.0886047826749	0.0288850528751	0.0215759849906	0.00701661601384
conference	2.89097156505	17.8781943185	195.097921672	718	0.0839445974273	0.0242950456427	0.0215759849906	0.00624343679616
conference division	2.89097156505	17.8781943185	195.097921672	718	0.0839445974273	0.0242950456427	0.0215759849906	0.00624343679616
press conference	2.8829445202	15.9293034138	174.474680544	718	0.0836605573197	0.0217041387225	0.0215759849906	0.00558173029895
conference standing	2.78289711497	15.9769263162	180.04067381	718	0.0815076110813	0.0217676138627	0.0215759849906	0.00574629456281
daily schedule	2.38156456205	47.5840229717	611.924146726	672	0.0721507710715	0.0661271254678	0.0215759849906	0.0193336119166
contact ringtone	2.26653035241	96.235374824	1306.65333987	600	0.0685980105306	0.138222472319	0.0215759849906	0.0411259590378
contact ringtones	2.26653035241	96.235374824	1306.65333987	600	0.0685980105306	0.138222472319	0.0215759849906	0.0411259590378
iphone rington	2.24234903238	53.3653193415	709.795342476	682	0.0699267166292	0.0725698070577	0.0215759849906	0.0223722051424
ringtones	2.24234903238	53.3653193415	709.795342476	682	0.0699267166292	0.0725698070577	0.0215759849906	0.0223722051424
different ringtones	2.24234903238	53.3653193415	709.795342476	682	0.0699267166292	0.0725698070577	0.0215759849906	0.0223722051424
ringtone	2.24234903238	53.3653193415	709.795342476	682	0.0699267166292	0.0725698070577	0.0215759849906	0.0223722051424
best ringtones	2.24234903238	53.3653193415	709.795342476	682	0.0699267166292	0.0725698070577	0.0215759849906	0.0223722051424
late ringtones	2.21399523373	47.8987515361	644.758701747	684	0.0691521491742	0.0654445050433	0.0215759849906	0.0203053896952
popular ringtones	2.19527056159	48.3056580032	654.135286313	684	0.0687682835035	0.065963791861	0.0215759849906	0.0205921946622
popular ringtone	2.19527056159	48.3056580032	654.135286313	684	0.0687682835035	0.065963791861	0.0215759849906	0.0205921946622
free ringtone	2.11630889694	42.2202008507	589.8932256	684	0.0667921279378	0.0581369132961	0.0215759849906	0.0185305296216
free ringtones	2.11630889694	42.2202008507	589.8932256	684	0.0667921279378	0.0581369132961	0.0215759849906	0.0185305296216
traffic condition	2.07314928229	12.6577123247	178.414249752	722	0.0662457860753	0.0172294010018	0.0215759849906	0.00560131220909
cost traffic	2.06415334667	11.921561287	168.656604562	722	0.0660188413754	0.0162436449832	0.0215759849906	0.00529368450542
twitter integration	1.99137820539	15.3360686491	222.708370725	718	0.0644252337479	0.0209127428811	0.0215759849906	0.00697831963457
convenient way	1.98362604599	22.4656415184	326.64369112	713	0.0643513060754	0.03054614689	0.0215759849906	0.0102342088602
convenient	1.98362604599	22.4656415184	326.64369112	713	0.0643513060754	0.03054614689	0.0215759849906	0.0102342088602
convenience	1.98362604599	22.4656415184	326.64369112	713	0.0643513060754	0.03054614689	0.0215759849906	0.0102342088602
