Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.READ_CALL_LOG
specific contact	2.8693549941	391.094582956	965.868827859	2107	0.288213064434	0.156557155852	0.0757233736918	0.0397808158898
emergency contact	2.86455084929	363.210954224	903.463310893	2115	0.286743770065	0.146561758031	0.0757233736918	0.0371338942018
contact page	2.8458257882	380.168176729	949.776967016	2107	0.285852524457	0.152851817696	0.0757233736918	0.0389887468484
contact photo	2.84450933704	359.375358927	900.414347586	2119	0.285266149635	0.145004410907	0.0757233736918	0.0369320660934
read contact	2.84263618816	362.080709716	907.142720397	2119	0.285277360254	0.145936691337	0.0757233736918	0.0372086256666
problem contact	2.84033921287	365.667624819	915.751463401	2120	0.285361462289	0.147110426659	0.0757233736918	0.0375661542675
contact list	2.83766812707	447.6892655	1103.44985553	2100	0.288619672748	0.175723653415	0.0757233736918	0.0454732819628
contact detail	2.82719443336	420.104452436	1047.27831722	2100	0.286295069781	0.166701206384	0.0757233736918	0.0430178760417
contact number	2.81639225653	449.576934588	1116.21285263	2100	0.287124707453	0.176333935442	0.0757233736918	0.0459027817191
contact developer	2.8118254568	442.388151529	1102.362796	2100	0.286381537578	0.174004961148	0.0757233736918	0.045286005908
contact information	2.7853982935	417.982764817	1058.71648881	2100	0.283052059375	0.165999057125	0.0757233736918	0.0432909986112
contact form	2.7778003344	469.0863502	1178.61945652	2089	0.284690597245	0.183373931127	0.0757233736918	0.0483042363672
contact	2.76974592877	482.146652758	1210.76354637	2089	0.28480344262	0.187522035058	0.0757233736918	0.0496294508847
new contact	2.76974592877	482.146652758	1210.76354637	2089	0.28480344262	0.187522035058	0.0757233736918	0.0496294508847
go contact	2.76974592877	482.146652758	1210.76354637	2089	0.28480344262	0.187522035058	0.0757233736918	0.0496294508847
contact name	2.76974592877	482.146652758	1210.76354637	2089	0.28480344262	0.187522035058	0.0757233736918	0.0496294508847
incoming message	2.71095860787	89.7722894699	231.07318065	2471	0.279799148906	0.0350567248166	0.0757233736918	0.00940592389903
voice message	2.69469508353	411.17256192	1094.53153306	2047	0.273076604688	0.167267574413	0.0757233736918	0.0441413061762
custom message	2.69348249634	369.577585033	982.301345632	2096	0.27338068273	0.149894932237	0.0757233736918	0.0396317589829
contact ringtone	2.62308510491	366.969697175	1010.42287368	2065	0.266423461938	0.150894025366	0.0757233736918	0.0403797182978
contact ringtones	2.62308510491	366.969697175	1010.42287368	2065	0.266423461938	0.150894025366	0.0757233736918	0.0403797182978
message board	2.59616107738	417.838963547	1153.67921311	2042	0.265882361244	0.16986435687	0.0757233736918	0.0460707155069
message notification	2.57450318001	445.012125428	1237.15094751	2020	0.264547553436	0.180531414364	0.0757233736918	0.0493143875272
secure message	2.55670299187	449.938786396	1256.72512601	2023	0.263636433117	0.181944975295	0.0757233736918	0.0500326555189
text message	2.55050106086	502.639487226	1390.74501694	2015	0.265471427552	0.199647125721	0.0757233736918	0.0555065669188
message text	2.55050106086	502.639487226	1390.74501694	2015	0.265471427552	0.199647125721	0.0757233736918	0.0555065669188
text messaging	2.55050106086	502.639487226	1390.74501694	2015	0.265471427552	0.199647125721	0.0757233736918	0.0555065669188
push message	2.54984713479	464.530101374	1297.25283225	2019	0.263670451397	0.187044280686	0.0757233736918	0.051648527854
love message	2.54640307551	463.948803913	1297.53684812	2019	0.263384946326	0.186853954935	0.0757233736918	0.0516398127299
message ringtone	2.54186086983	461.263284464	1293.18674947	2019	0.262910470827	0.185973516341	0.0757233736918	0.0514335561529
photo message	2.5387457661	491.12023863	1370.61715576	2011	0.263796731005	0.196281629894	0.0757233736918	0.0545787984634
send message	2.5379852425	477.781615571	1336.01201165	2018	0.263415643544	0.191435665921	0.0757233736918	0.0531732762811
unread message	2.52609292811	500.327783985	1400.0882806	2010	0.263272760796	0.199307750636	0.0757233736918	0.0557127045406
private message	2.52047362334	473.145980849	1333.60833116	2018	0.261876215102	0.189931053614	0.0757233736918	0.0529669113193
free message	2.51855566003	499.515572725	1402.17909311	2010	0.262668651125	0.199048604501	0.0757233736918	0.0557501880869
read message	2.51761448417	496.767599875	1395.98052857	2010	0.26245837595	0.198170584261	0.0757233736918	0.0554879108924
facebook message	2.50570767701	518.118837549	1457.55902988	2002	0.262248641892	0.205593018007	0.0757233736918	0.0579190837977
instant message	2.47209354628	358.509416868	1037.57862535	2103	0.256795707738	0.14564616914	0.0757233736918	0.0409277957909
instant messaging	2.47209354628	358.509416868	1037.57862535	2103	0.256795707738	0.14564616914	0.0757233736918	0.0409277957909
personal message	2.4033928594	544.392125422	1589.20185615	1987	0.255152634533	0.215056418938	0.0757233736918	0.0625485615071
important message	2.39947094289	550.3743159	1606.65074992	1987	0.255154344111	0.216907025681	0.0757233736918	0.0632354684947
call message	2.38820012891	570.898105983	1665.09604402	1987	0.255321824514	0.223190323589	0.0757233736918	0.0655505306208
message call	2.38820012891	570.898105983	1665.09604402	1987	0.255321824514	0.223190323589	0.0757233736918	0.0655505306208
message tone	2.38649447883	342.662166188	1029.6474772	2103	0.249697411833	0.140110179944	0.0757233736918	0.0402307069094
handcent message	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
message etc	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
message	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
go message	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
whatsapp message	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
messaging	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
message mms	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
new message	2.38631893984	573.262022266	1672.20950189	1987	0.255296945919	0.223907559961	0.0757233736918	0.0658283698561
chat message	2.25724626217	356.93591071	1129.73075603	2087	0.240091419748	0.146049619855	0.0757233736918	0.0435832038563
late ringtones	2.07518514172	155.945898388	515.826933093	2411	0.232140823624	0.0607515329739	0.0757233736918	0.0196937302184
free ringtone	2.05797794426	141.350355682	472.3511384	2414	0.230324281503	0.0553154503326	0.0757233736918	0.0179913076158
free ringtones	2.05797794426	141.350355682	472.3511384	2414	0.230324281503	0.0553154503326	0.0757233736918	0.0179913076158
popular ringtones	2.0568796921	157.178258443	523.795294635	2411	0.230814042238	0.0612022385622	0.0757233736918	0.0199634590917
popular ringtone	2.0568796921	157.178258443	523.795294635	2411	0.230814042238	0.0612022385622	0.0757233736918	0.0199634590917
iphone rington	2.0129915175	168.337021639	570.008618096	2411	0.227992165972	0.0652636783122	0.0757233736918	0.0216453824202
ringtone	2.0129915175	168.337021639	570.008618096	2411	0.227992165972	0.0652636783122	0.0757233736918	0.0216453824202
ringtones	2.0129915175	168.337021639	570.008618096	2411	0.227992165972	0.0652636783122	0.0757233736918	0.0216453824202
different ringtones	2.0129915175	168.337021639	570.008618096	2411	0.227992165972	0.0652636783122	0.0757233736918	0.0216453824202
best ringtones	2.0129915175	168.337021639	570.008618096	2411	0.227992165972	0.0652636783122	0.0757233736918	0.0216453824202
boost mobile	1.9954336962	85.8059100675	294.188647759	2474	0.225808260408	0.0335204750212	0.0757233736918	0.0111399418905
message alert	1.97328134068	365.376541465	1300.92141016	2081	0.219274434748	0.149354171474	0.0757233736918	0.0488492847358
backup	1.82780946121	52.1302217741	191.502034286	2527	0.213970935611	0.0202123263626	0.0757233736918	0.00714233696051
next alarm	1.8093840954	125.950245946	466.792849123	2451	0.212487074069	0.0488756995382	0.0757233736918	0.0173768900082
alarm	1.8093840954	125.950245946	466.792849123	2451	0.212487074069	0.0488756995382	0.0757233736918	0.0173768900082
alarm setting	1.80602975333	121.557968525	451.685279506	2451	0.212053031488	0.0472517898575	0.0757233736918	0.0168052313925
mobile tracker	1.75628016548	77.0390451522	293.572717831	2485	0.207869940587	0.0300694266537	0.0757233736918	0.0108648753476
mobile banking	1.691946825	96.8676261657	380.470460807	2463	0.202932950061	0.0378408731669	0.0757233736918	0.0139936702815
unlimited access	1.65230541171	43.4133560056	172.977784867	2534	0.200624461013	0.0168437693179	0.0757233736918	0.00634373489116
unlimited imagination	1.57445876817	37.1003162053	153.64846866	2534	0.194498309552	0.0144297427726	0.0757233736918	0.00559200213612
address	1.52027679546	76.8426855041	326.28430157	2500	0.190616574846	0.0298204798983	0.0757233736918	0.0118180934911
fun puzzle	1.50867908759	62.6309949012	268.303120331	2501	0.18925517805	0.0244305810882	0.0757233736918	0.00970168318819
unlimited level	1.49215107033	39.9187706831	171.983713127	2534	0.188382740803	0.0155089473443	0.0757233736918	0.00621214516753
voice command	1.48825539229	92.072023322	399.609556508	2459	0.187259452253	0.0360915028977	0.0757233736918	0.0144141649271
unlimited amount	1.48797058907	40.2969060391	173.956602211	2534	0.188080495709	0.0156535580432	0.0757233736918	0.00628106793264
mobile coupon	1.47158742876	75.8504026334	331.245272778	2484	0.186320826319	0.0296307950478	0.0757233736918	0.0119344397822
unlimited undo	1.46778425943	34.6866381155	151.304293389	2538	0.186496394394	0.0134826517935	0.0757233736918	0.00545252063862
security	1.46360309925	72.7527557368	317.327169022	2509	0.186507305604	0.0281795983659	0.0757233736918	0.0114356050763
secure	1.46360309925	72.7527557368	317.327169022	2509	0.186507305604	0.0281795983659	0.0757233736918	0.0114356050763
mobile deposit	1.44740468539	62.7689399616	277.451435531	2497	0.184494946461	0.0245213304145	0.0757233736918	0.00997391971777
mobile game	1.43875191722	77.0683077627	342.115359643	2483	0.183853317186	0.0301040044631	0.0757233736918	0.0122888120373
mobile screen	1.43848697439	74.7194513275	331.760061395	2485	0.183820952813	0.0291904846403	0.0757233736918	0.0119163763221
gmail account	1.42913195693	162.4028476	732.956220699	2348	0.181382925968	0.0646919468544	0.0757233736918	0.0262483969482
voice note	1.4202613605	109.792735469	490.35080242	2464	0.182944126758	0.042657955303	0.0757233736918	0.0175938418073
voice recording	1.41592231447	97.9909410014	439.102750775	2471	0.182446642926	0.0381437471956	0.0757233736918	0.0157454689624
voice recorder	1.41592231447	97.9909410014	439.102750775	2471	0.182446642926	0.0381437471956	0.0757233736918	0.0157454689624
voice call	1.41073365776	115.229248824	516.455650436	2464	0.182415709097	0.0446758460407	0.0757233736918	0.0185185101363
voice	1.40955270775	115.859295693	519.513326069	2464	0.182348580541	0.0449091529474	0.0757233736918	0.0186266196172
voice recognition	1.39109547536	88.6989042313	403.395330864	2471	0.180247801956	0.0346520850889	0.0757233736918	0.0144262623522
total	1.36826931075	94.532807121	436.227305844	2453	0.178108348408	0.0371075916498	0.0757233736918	0.0155597934087
total time	1.36809243349	94.0823963999	434.234216898	2453	0.178079572044	0.0369373195515	0.0757233736918	0.0154881596347
unlimited number	1.36310452422	44.1264865722	202.702453432	2534	0.178773552937	0.0171157182559	0.0757233736918	0.00723605112733
slide puzzle	1.32895122058	64.2667990845	301.612230787	2498	0.175650403105	0.0250820090661	0.0757233736918	0.0107261302768
unlimited money	1.29834880028	44.581474415	211.796023082	2534	0.173889966359	0.0172891470979	0.0757233736918	0.00751597717737
unlimited	1.29834880028	44.581474415	211.796023082	2534	0.173889966359	0.0172891470979	0.0757233736918	0.00751597717737
view account	1.29148463314	163.37842514	785.780262852	2378	0.172129726258	0.0642873267214	0.0757233736918	0.0278255896336
paypal account	1.27553235318	142.710341891	695.513785457	2378	0.170253202259	0.0566151292831	0.0757233736918	0.0245734257966
account information	1.26829664045	174.882934207	850.211519612	2373	0.170601775822	0.0686385280341	0.0757233736918	0.0300517268277
account activity	1.26607250162	174.250853686	848.265598716	2373	0.170413740803	0.0684074179165	0.0757233736918	0.0299761499927
call text	1.2594807682	180.852990061	877.025135666	2398	0.170958247139	0.0701292360432	0.0757233736918	0.0310128148025
text	1.25541179775	182.839657248	888.176909525	2398	0.170715993497	0.0708450277935	0.0757233736918	0.0313979820812
texting	1.25541179775	182.839657248	888.176909525	2398	0.170715993497	0.0708450277935	0.0757233736918	0.0313979820812
personal account	1.23736078579	186.005698121	918.908175431	2364	0.168344069681	0.072943248032	0.0757233736918	0.0323917174387
account detail	1.23563277294	182.876283396	904.943738595	2364	0.168112628651	0.0718041487088	0.0757233736918	0.0318905931222
bill reminder	1.23061388407	81.9106996567	406.231125203	2467	0.167801027253	0.0321355705666	0.0757233736918	0.0143103932708
twitter account	1.22145893112	152.186581862	761.258510952	2381	0.166607257578	0.0600771308958	0.0757233736918	0.026778607863
facebook account	1.20194085369	167.705486715	846.339666078	2373	0.165382661959	0.0660074485579	0.0757233736918	0.0297278048956
smart way	1.1844271571	44.5373414024	225.571754737	2522	0.164886492306	0.0173530852966	0.0757233736918	0.00791853349768
