Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.READ_CONTACTS
specific contact	2.83273356351	696.487498219	653.531237183	3819	0.515909505516	0.154244142741	0.13681402439	0.0395760651795
contact form	2.82443024593	851.025139819	785.056893811	3761	0.520160433478	0.184523092138	0.13681402439	0.0479620671209
contact page	2.8184535773	678.37682448	644.029602981	3819	0.512986635873	0.150838333312	0.13681402439	0.0387666049326
contact	2.81658998815	874.777803168	806.134445192	3761	0.520418483488	0.188701408978	0.13681402439	0.0492762736972
new contact	2.81658998815	874.777803168	806.134445192	3761	0.520418483488	0.188701408978	0.13681402439	0.0492762736972
go contact	2.81658998815	874.777803168	806.134445192	3761	0.520418483488	0.188701408978	0.13681402439	0.0492762736972
contact name	2.81658998815	874.777803168	806.134445192	3761	0.520418483488	0.188701408978	0.13681402439	0.0492762736972
contact list	2.7993038281	794.700639908	745.072642546	3806	0.516115358647	0.172734698931	0.13681402439	0.0451387571076
contact detail	2.79701909801	747.495559164	709.0538596	3806	0.513196153549	0.164158622634	0.13681402439	0.0426990331486
read contact	2.78356504677	639.327090865	619.673138056	3849	0.507805380951	0.142442178995	0.13681402439	0.0369078397315
contact number	2.78271478764	799.171895865	755.308934251	3806	0.51410855662	0.173537907799	0.13681402439	0.0455699117646
contact developer	2.77955093284	786.621788003	746.792900003	3806	0.512986991814	0.171279461779	0.13681402439	0.0449523536587
emergency contact	2.7787806775	636.396503847	619.085402363	3847	0.506894205881	0.141945175561	0.13681402439	0.0368046994081
contact photo	2.77315435217	632.142777826	616.975224197	3850	0.506071305355	0.141035841373	0.13681402439	0.0366181403032
problem contact	2.76279923278	642.740643053	628.950359971	3853	0.505422025889	0.142966575273	0.13681402439	0.0372798722744
contact information	2.76225600882	744.399589605	720.006030791	3806	0.508328825864	0.16358993863	0.13681402439	0.0429293392471
contact ringtone	2.66683011631	675.561384804	706.743289278	3748	0.488721044984	0.152718890061	0.13681402439	0.0405225338321
contact ringtones	2.66683011631	675.561384804	706.743289278	3748	0.488721044984	0.152718890061	0.13681402439	0.0405225338321
free ringtone	2.53583477024	300.345415644	323.500239043	4322	0.481441865287	0.0649768437096	0.13681402439	0.0182881582636
