Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.READ_SMS
custom message	6.04969709935	292.082431857	1054.72604995	710	0.216870056732	0.291475454086	0.0321294559099	0.039481955963
voice message	5.91995692785	318.361999966	1180.45254181	679	0.212409201467	0.319204060288	0.0321294559099	0.0439380435558
message board	5.74618369348	325.111705176	1242.12796321	676	0.207442238564	0.324750678166	0.0321294559099	0.0459439396219
incoming message	5.67900747614	68.7804787615	253.973846636	1012	0.213104746704	0.0636396383106	0.0321294559099	0.00946160663102
message notification	5.48202957022	335.808836937	1341.30943903	675	0.200229668801	0.332217947317	0.0321294559099	0.049165052649
instant message	5.47818574793	276.072086164	1110.47341794	724	0.199107844169	0.276052186621	0.0321294559099	0.0406468545996
instant messaging	5.47818574793	276.072086164	1110.47341794	724	0.199107844169	0.276052186621	0.0321294559099	0.0406468545996
secure message	5.44793191303	339.634370679	1361.71785138	676	0.199626136361	0.334406141112	0.0321294559099	0.0498754755529
push message	5.41873640725	350.493076554	1405.97036288	674	0.199544760616	0.342113660478	0.0321294559099	0.0514910717471
love message	5.41745780766	350.30683786	1405.72520734	674	0.199487725078	0.341994044082	0.0321294559099	0.05147842534
text message	5.39326899558	379.838080004	1506.31321985	673	0.201382614445	0.360775400527	0.0321294559099	0.0552928969236
message text	5.39326899558	379.838080004	1506.31321985	673	0.201382614445	0.360775400527	0.0321294559099	0.0552928969236
text messaging	5.39326899558	379.838080004	1506.31321985	673	0.201382614445	0.360775400527	0.0321294559099	0.0552928969236
send message	5.39120515122	360.858163802	1447.44697234	673	0.199556013302	0.349040300146	0.0321294559099	0.0530108212988
private message	5.35839092272	357.162437504	1444.94881595	673	0.19819111435	0.346704970499	0.0321294559099	0.0528292464075
photo message	5.35544356497	369.018781141	1486.13677944	670	0.198915276423	0.355160838128	0.0321294559099	0.0543842507205
unread message	5.35400549594	377.265643255	1514.29718576	668	0.199446530386	0.360928004943	0.0321294559099	0.055451536967
free message	5.3400528494	376.811946316	1517.0309798	668	0.198966842033	0.360650495666	0.0321294559099	0.0555183784626
read message	5.33304354012	374.132543628	1510.66145235	668	0.198500496302	0.35900667906	0.0321294559099	0.055253107293
message ringtone	5.32104669097	342.616679649	1407.31377458	674	0.19578874053	0.337016583052	0.0321294559099	0.0512995559988
facebook message	5.26534345735	388.227951116	1578.58904282	665	0.197388955003	0.368607717545	0.0321294559099	0.0576576276365
message tone	5.19219870955	261.108514456	1117.89393339	728	0.189345939787	0.263983688988	0.0321294559099	0.0404257284196
chat message	4.9805714763	268.843085095	1200.71267694	721	0.182941737932	0.27160172066	0.0321294559099	0.0430803166639
personal message	4.96295026377	402.037096859	1727.38497208	662	0.188801037955	0.377841240729	0.0321294559099	0.062424427443
important message	4.95327365546	406.591782087	1745.94145999	662	0.188889896861	0.380493083423	0.0321294559099	0.0631019360365
