Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.RECEIVE_BOOT_COMPLETED
configurable	1.5952496607	156.639971226	74.5559998542	8733	0.677520332617	0.017620507887	0.26152087242	0.00677755543738
configure	1.5952496607	156.639971226	74.5559998542	8733	0.677520332617	0.017620507887	0.26152087242	0.00677755543738
configuration	1.5952496607	156.639971226	74.5559998542	8733	0.677520332617	0.017620507887	0.26152087242	0.00677755543738
radar image	1.19269035304	144.838535438	107.928681782	8763	0.573011552016	0.0162596722944	0.26152087242	0.00740992076744
browser homepage	1.09902486007	264.669765695	218.487226838	8619	0.547792476949	0.0297928415481	0.26152087242	0.0141638424171
shortcut icon	1.07989935644	538.485560034	457.737500356	8270	0.540527098242	0.0611325926987	0.26152087242	0.0292044752694
widget configuration	1.04517602523	523.116497826	464.578000791	8222	0.529633908621	0.0598181279753	0.26152087242	0.0289544588009
full featured	1.04468456178	181.53232213	158.285600737	8722	0.53420467231	0.0203887980144	0.26152087242	0.00996182935234
full feature	1.04468456178	181.53232213	158.285600737	8722	0.53420467231	0.0203887980144	0.26152087242	0.00996182935234
close icon	1.03758872977	732.654989001	649.842077876	8090	0.52995048348	0.0830424616982	0.26152087242	0.0405281738648
special icon	1.03688403216	714.565500939	635.624072037	8090	0.529233461168	0.0811585195047	0.26152087242	0.0395810733166
icon set	1.034722419	734.192747878	653.03857754	8090	0.529250410098	0.0832022564392	0.26152087242	0.0406669595866
change icon	1.03416791878	727.816571609	648.231059397	8090	0.528918153129	0.0825393186282	0.26152087242	0.0403391073817
galaxy phone	1.03187697154	315.615645787	282.049419231	8494	0.528081134837	0.0358262673966	0.26152087242	0.0175206691199
weather widget	1.02486748062	550.181164895	496.115421243	8245	0.525836719897	0.062554841632	0.26152087242	0.0306723905411
samsung galaxy	1.02143429593	403.953918518	361.203456345	8493	0.52793573164	0.0454036204096	0.26152087242	0.0224307391787
share icon	1.01842486172	596.307146195	540.813481586	8207	0.52440095767	0.0677367194274	0.26152087242	0.033334915214
icon annoying	1.01554696472	762.013884184	689.470461003	8087	0.524989392211	0.0861128589193	0.26152087242	0.0425505495189
pause icon	1.01554696472	762.013884184	689.470461003	8087	0.524989392211	0.0861128589193	0.26152087242	0.0425505495189
icon advertisement	1.01554696472	762.013884184	689.470461003	8087	0.524989392211	0.0861128589193	0.26152087242	0.0425505495189
icon	1.01554696472	762.013884184	689.470461003	8087	0.524989392211	0.0861128589193	0.26152087242	0.0425505495189
new icon	1.01554696472	762.013884184	689.470461003	8087	0.524989392211	0.0861128589193	0.26152087242	0.0425505495189
icon size	1.0154656499	614.074027945	557.877800649	8201	0.523975485137	0.0696618118008	0.26152087242	0.0343559987275
galaxy apps	1.00392792675	355.131887707	325.279017352	8493	0.521937383817	0.0401363691471	0.26152087242	0.0199463797215
galaxy theme	1.00151713807	357.505972387	328.187653371	8493	0.521378585067	0.0403938456742	0.26152087242	0.0201012437194
galaxy ii	0.999421180107	358.848664472	330.090070907	8493	0.520871662521	0.0405394034709	0.26152087242	0.0201963747473
galaxy series	0.9983127461	386.961353503	355.195229727	8493	0.521401227513	0.0435769186485	0.26152087242	0.0217564664409
galaxy note	0.996591463938	393.614003764	361.671503798	8493	0.521145977015	0.044292911068	0.26152087242	0.022141343444
battery efficient	0.996038640033	385.509489381	356.172200659	8459	0.519777546834	0.0435874357808	0.26152087242	0.0217425448534
battery indicator	0.99603420736	413.964607497	382.354543744	8433	0.519847609909	0.046791710588	0.26152087242	0.023344252792
galaxy	0.995456310519	401.438280178	368.961690774	8493	0.521077745735	0.045133629301	0.26152087242	0.0225844269158
