Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.RECORD_AUDIO
voice recorder	3.11752795723	243.806178868	292.467088022	3507	0.454630491432	0.065001007048	0.110870075047	0.0157209564637
voice recording	3.11752795723	243.806178868	292.467088022	3507	0.454630491432	0.065001007048	0.110870075047	0.0157209564637
voice recognition	2.98773616478	215.535929977	275.821437204	3507	0.438654112818	0.0579002953985	0.110870075047	0.0144042380154
voice note	2.98569818874	263.664562683	334.769140798	3496	0.440591098311	0.0701298103293	0.110870075047	0.0175432019079
voice call	2.96503318689	276.607492938	353.394844738	3496	0.439057883434	0.0733199765563	0.110870075047	0.0184686426383
voice	2.9628012892	278.121692792	355.559246571	3496	0.438898624711	0.0736917660401	0.110870075047	0.0185764815714
correct operation	2.89052411425	35.9802864631	47.5338768124	3737	0.43082855712	0.0095363038583	0.110870075047	0.00244823414855
correct order	2.86012684071	39.9215173535	53.4216940209	3737	0.427685278508	0.0105698562096	0.110870075047	0.00273637462988
correct word	2.76225372291	34.6204587929	48.4920631655	3737	0.416549251269	0.00917920007358	0.110870075047	0.00243645995422
correct position	2.74944010304	38.5289869607	54.2347875179	3737	0.415345183799	0.010204924156	0.110870075047	0.00271938832313
voice command	2.63963529299	196.308795092	294.68189564	3516	0.39982182717	0.0528805134292	0.110870075047	0.0143934888231
monthly fee	2.34472515925	118.783645087	201.967717133	3653	0.370329355002	0.0314926984854	0.110870075047	0.00940288937089
small fee	2.29490821087	120.031423656	208.935530309	3653	0.364873803309	0.0318129933676	0.110870075047	0.00964373106137
fee	2.28889326868	122.310905547	213.415222914	3653	0.364317505187	0.0323975716457	0.110870075047	0.00984187759326
one-time fee	2.28835001854	122.188809492	213.263005972	3653	0.364251447926	0.0323662777303	0.110870075047	0.00983383605373
feeding	2.26749791485	199.432803987	351.484729695	3577	0.362001192183	0.0528098378387	0.110870075047	0.0161502560296
news feed	2.26749791485	199.432803987	351.484729695	3577	0.362001192183	0.0528098378387	0.110870075047	0.0161502560296
r feed	2.26749791485	199.432803987	351.484729695	3577	0.362001192183	0.0528098378387	0.110870075047	0.0161502560296
feed	2.26749791485	199.432803987	351.484729695	3577	0.362001192183	0.0528098378387	0.110870075047	0.0161502560296
live feed	2.26266742288	193.300832547	341.901940551	3577	0.361173077314	0.0512693392735	0.110870075047	0.0156895747273
entire feed	2.13805807725	169.829226247	319.347329426	3596	0.347173682543	0.0450974316793	0.110870075047	0.0143403070964
twitter feed	2.12908733636	167.769609361	316.991817806	3596	0.346086961459	0.0445748881503	0.110870075047	0.0142108767345
valuable feed	2.12859232677	145.259795981	275.778491413	3596	0.34500376885	0.038826439195	0.110870075047	0.0123428203387
hotel offer	2.12302232327	112.885787527	213.48834962	3661	0.345878470989	0.0299123486726	0.110870075047	0.00956772212556
