Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.SEND_SMS
voice message	4.72042599081	333.342522682	1162.27329206	945	0.222879779283	0.260761507004	0.0404256566604	0.0438442722428
custom message	4.71813302366	300.563152121	1045.91879924	983	0.223221077577	0.234163119769	0.0404256566604	0.0394723836587
message board	4.63296888634	342.66627679	1218.45705076	936	0.219499811925	0.267987263768	0.0404256566604	0.0457646378856
message notification	4.42745154719	353.818001372	1312.86463966	935	0.212288766117	0.274529065388	0.0404256566604	0.0488591299551
secure message	4.40542159327	358.106766899	1332.35144593	936	0.211840058619	0.276721191836	0.0404256566604	0.0495561155263
text message	4.39113750554	401.981658624	1473.65099771	931	0.214317903491	0.301565783762	0.0404256566604	0.0549845408164
message text	4.39113750554	401.981658624	1473.65099771	931	0.214317903491	0.301565783762	0.0404256566604	0.0549845408164
text messaging	4.39113750554	401.981658624	1473.65099771	931	0.214317903491	0.301565783762	0.0404256566604	0.0549845408164
instant message	4.38423600154	292.037667799	1100.70805925	985	0.209684842056	0.228683675637	0.0404256566604	0.0408286153566
instant messaging	4.38423600154	292.037667799	1100.70805925	985	0.209684842056	0.228683675637	0.0404256566604	0.0408286153566
love message	4.37510843584	368.863712383	1375.91131741	935	0.211410471886	0.282900512438	0.0404256566604	0.0511484237157
send message	4.3738845346	381.654949737	1415.5696137	935	0.212357964331	0.289867098295	0.0404256566604	0.0526859921269
push message	4.37089356558	368.591933013	1376.43990916	935	0.211223614437	0.282751007948	0.0404256566604	0.0511559522213
photo message	4.33597824196	389.210815675	1454.88286447	930	0.211058049743	0.295033069052	0.0404256566604	0.0540599695165
private message	4.33071157757	375.954502569	1412.50123166	935	0.210211801933	0.286779214559	0.0404256566604	0.0524289321712
read message	4.30759282522	393.530861555	1479.40791782	928	0.210114108314	0.297784087382	0.0404256566604	0.0549055692829
unread message	4.30560498467	395.17610625	1485.16332221	928	0.210162112366	0.298657226641	0.0404256566604	0.0551225207686
free message	4.30494868457	395.676137123	1486.93046984	928	0.210174624725	0.298922165344	0.0404256566604	0.0551889835532
message ringtone	4.29352176711	360.465643861	1376.21790231	935	0.207559773717	0.27825179739	0.0404256566604	0.0509112202794
chat message	4.26542680433	301.303533065	1176.61946873	960	0.203869574192	0.238882652087	0.0404256566604	0.0433256039457
facebook message	4.23548922479	407.669088343	1549.83844504	927	0.208259269193	0.305445815673	0.0404256566604	0.0573847189665
message tone	4.21102470874	275.18337144	1086.23933857	991	0.202129264788	0.217332953225	0.0404256566604	0.0399103749416
personal message	4.11222946234	431.030498541	1682.85732578	911	0.203904149303	0.321177871151	0.0404256566604	0.0619690380019
important message	4.1030594976	435.570014779	1700.87733554	911	0.203875847778	0.323466295847	0.0404256566604	0.0626303749507
call message	4.07532380871	451.841687002	1763.36188628	911	0.203972985802	0.331543781872	0.0404256566604	0.0649391291416
message call	4.07532380871	451.841687002	1763.36188628	911	0.203972985802	0.331543781872	0.0404256566604	0.0649391291416
handcent message	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
message	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
message etc	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
new message	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
go message	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
whatsapp message	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
messaging	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
message mms	4.07164205993	453.737593316	1770.84170332	911	0.203965574076	0.332472407544	0.0404256566604	0.0652139803188
message alert	3.51639098288	291.197679143	1368.431442	979	0.175459489975	0.22925382712	0.0404256566604	0.0486523546301
emergency contact	2.59422293544	178.221016777	1071.19908536	1150	0.142642988113	0.134180241486	0.0404256566604	0.0366269964275
contact photo	2.58469116307	176.78844796	1066.07916871	1151	0.142242380113	0.133145041465	0.0404256566604	0.0364349090252
read contact	2.53830472835	175.985794368	1076.90964734	1153	0.140463272919	0.132421125277	0.0404256566604	0.0367288766917
