Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.ACCESS_COARSE_LOCATION
radar image	0.994092965419	234.441202658	46.0427620852	15575	0.835845296442	0.0148291897008	0.41953855527	0.00742984198414
route stop	0.834963552071	368.651603599	110.615749843	15443	0.769198237584	0.0233151863475	0.41953855527	0.0126954876279
favorite route	0.833852266152	321.739638528	97.4119797198	15443	0.767597271539	0.0204088139674	0.41953855527	0.011103060005
routing plan	0.831415609077	370.60551361	112.105675988	15443	0.767758281963	0.0234358643442	0.41953855527	0.0127867126592
long route	0.8285347603	386.577353474	117.476299737	15443	0.766936914377	0.0244212049913	0.41953855527	0.0133520609576
bus route	0.827281736536	394.729806526	120.174156399	15443	0.766608600726	0.0249233830447	0.41953855527	0.0136394787668
route	0.827281736536	394.729806526	120.174156399	15443	0.766608600726	0.0249233830447	0.41953855527	0.0136394787668
routing	0.827281736536	394.729806526	120.174156399	15443	0.766608600726	0.0249233830447	0.41953855527	0.0136394787668
best route	0.827281736536	394.729806526	120.174156399	15443	0.766608600726	0.0249233830447	0.41953855527	0.0136394787668
vector map	0.822293360525	1049.10571731	339.754817713	14404	0.755371537209	0.0678896356824	0.41953855527	0.0367900329799
budget hotel	0.809296335591	213.378824812	68.1316515038	15579	0.757978273507	0.0135115062258	0.41953855527	0.00745703362337
discount hotel	0.808557412222	204.874810507	65.5906776708	15580	0.757489659354	0.0129791850088	0.41953855527	0.00716445890645
route guidance	0.802838704463	308.796344033	100.760297324	15429	0.753977137349	0.0196213203731	0.41953855527	0.0108488951646
radar map	0.795843021068	1225.3821845	421.424661407	14214	0.744095877149	0.0793673069206	0.41953855527	0.0436228668355
hotel price	0.795081244326	204.522427559	67.507830931	15580	0.751837051857	0.0129571501765	0.41953855527	0.00720590867764
boutique hotel	0.790977146829	222.299431824	73.9432217838	15574	0.750396437234	0.0140728803467	0.41953855527	0.00784727963783
next trip	0.787136999472	431.300129265	144.098891274	15398	0.749567020224	0.0272469487433	0.41953855527	0.0152419543996
trip right	0.787136999472	431.300129265	144.098891274	15398	0.749567020224	0.0272469487433	0.41953855527	0.0152419543996
trip day	0.787136999472	431.300129265	144.098891274	15398	0.749567020224	0.0272469487433	0.41953855527	0.0152419543996
trip	0.787136999472	431.300129265	144.098891274	15398	0.749567020224	0.0272469487433	0.41953855527	0.0152419543996
