Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.ACCESS_FINE_LOCATION
favorite route	1.19680484637	391.376990145	27.7746281029	15610	0.933736082855	0.0244589569001	0.426213875129	0.011103060005
route stop	1.19568192832	448.039912023	31.2274414193	15608	0.934843378763	0.0279047582391	0.426213875129	0.0126954876279
routing plan	1.19420843087	450.997951062	31.7132385356	15608	0.934301836752	0.0280838164645	0.426213875129	0.0127867126592
radar image	1.19305886517	261.035359835	18.5189532433	15796	0.93375543722	0.0162567593572	0.426213875129	0.00740521610232
long route	1.19235718771	470.83088653	33.2227666813	15608	0.9340888287	0.0292826567959	0.426213875129	0.0133520609576
bus route	1.19138825407	480.903962925	34.0	15608	0.933968268943	0.0298904116796	0.426213875129	0.0136394787668
route	1.19138825407	480.903962925	34.0	15608	0.933968268943	0.0298904116796	0.426213875129	0.0136394787668
routing	1.19138825407	480.903962925	34.0	15608	0.933968268943	0.0298904116796	0.426213875129	0.0136394787668
best route	1.19138825407	480.903962925	34.0	15608	0.933968268943	0.0298904116796	0.426213875129	0.0136394787668
route guidance	1.1333110949	370.980792563	38.5758487943	15597	0.905810711147	0.0232327930114	0.426213875129	0.0108488951646
vector map	1.12520817287	1240.59667394	148.263861085	14398	0.893247840697	0.0793291559214	0.426213875129	0.0367900329799
radar map	1.12268110548	1466.71192756	178.699282349	14143	0.891395365929	0.0939614987368	0.426213875129	0.0435858973249
map data	1.11091984807	1608.43565698	197.350347766	14157	0.890712217701	0.102022912146	0.426213875129	0.047834123725
route map	1.10998413473	1601.76688166	197.699111122	14157	0.890134566636	0.101642907322	0.426213875129	0.0476667106245
interactive map	1.10569256535	1715.80684514	209.92991283	14140	0.890987222443	0.108213152563	0.426213875129	0.0510115429518
on-board map	1.10464435574	1727.37380446	211.6176984	14140	0.890861977431	0.108863245156	0.426213875129	0.0513626527207
online map	1.1028138712	1749.76475934	214.710601262	14140	0.890703337101	0.110118984506	0.426213875129	0.0520377039178
offline map	1.10205075914	1770.32174339	216.752640329	14139	0.890918708376	0.111275752162	0.426213875129	0.0526363376789
map view	1.09539734508	1857.93796778	228.433653368	14139	0.890511521988	0.116143350154	0.426213875129	0.0552666583971
map direction	1.09475254722	1866.02025584	229.547209969	14139	0.89046059661	0.116589684112	0.426213875129	0.0555102504784
detailed map	1.09415115812	1874.0997912	230.618113695	14139	0.89042801738	0.117035415731	0.426213875129	0.0557526397948
local map	1.09283834967	1888.91925502	232.796875495	14139	0.89027897175	0.117851807522	0.426213875129	0.0562029119896
location map	1.09267716497	1886.68872344	232.8318702	14139	0.890148804924	0.117729025941	0.426213875129	0.0561447536128
world map	1.09177030486	1907.88909988	234.967156888	14139	0.890348614777	0.118894639827	0.426213875129	0.0567629004998
live map	1.09143795614	1905.78454723	235.187964994	14139	0.890149003011	0.118779067529	0.426213875129	0.0567130013039
gps map	1.0912907506	1915.75956293	235.904079425	14139	0.890362008828	0.11932658072	0.426213875129	0.056996202547
map	1.0912907506	1915.75956293	235.904079425	14139	0.890362008828	0.11932658072	0.426213875129	0.056996202547
map display	1.0912907506	1915.75956293	235.904079425	14139	0.890362008828	0.11932658072	0.426213875129	0.056996202547
mapping	1.0912907506	1915.75956293	235.904079425	14139	0.890362008828	0.11932658072	0.426213875129	0.056996202547
campus map	1.0912907506	1915.75956293	235.904079425	14139	0.890362008828	0.11932658072	0.426213875129	0.056996202547
budget hotel	1.05046081522	245.606639211	35.9038371047	15790	0.872460032129	0.0153163297615	0.426213875129	0.00745703362337
discount hotel	1.0504037758	235.900037107	34.5654510699	15791	0.872200141679	0.0147190059563	0.426213875129	0.00716445890645
hotel price	1.04241349592	236.343483159	35.6867753309	15791	0.868813213908	0.0147462668038	0.426213875129	0.00720590867764
boutique hotel	1.03713830724	256.822144411	39.4205091963	15784	0.866931690233	0.0160105350025	0.426213875129	0.00784727963783
hotel review	1.03120111292	266.101081927	41.6628791393	15783	0.864627167538	0.0165804352885	0.426213875129	0.00815247175084
hotel reservation	1.02900253682	245.767143691	38.9491645829	15785	0.863200092685	0.0153309658538	0.426213875129	0.00754195407469
hotel room	1.02724054528	267.433664383	42.4533617367	15784	0.863003746016	0.0166610453605	0.426213875129	0.00820871039494
luxury hotel	1.00266825957	242.765828574	42.2423916698	15780	0.851785356809	0.0151513060336	0.426213875129	0.00754968663727
city map	1.00263843264	2203.2288909	395.965538854	13663	0.847658361252	0.138862795063	0.426213875129	0.0688510087085
current location	0.988326593484	1519.53696236	299.670166351	14101	0.835274300753	0.0972781515781	0.426213875129	0.04818964077
hotel restaurant	0.984041661543	485.542850171	91.643968883	15436	0.841223039304	0.0304959673029	0.426213875129	0.0152893120461
time location	0.973753458323	1839.80094222	354.151826614	14148	0.838578190176	0.115075297026	0.426213875129	0.0581164146337
locator	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
new location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
gps location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
precise location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
different location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
near location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
various location	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
locate	0.972629843678	1857.66292593	357.625799647	14148	0.838564700159	0.116062854411	0.426213875129	0.0586815905691
hotel deal	0.964338497829	289.16871792	56.4215154299	15782	0.836738686499	0.017993011149	0.426213875129	0.0091544656658
local restaurant	0.963807567707	424.998854435	83.0957390747	15644	0.836456163604	0.0264483716929	0.426213875129	0.0134591028982
hotel offer	0.963405740168	289.685097299	56.6811879095	15782	0.836354777211	0.0180245627976	0.426213875129	0.00917502278638
