Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.CAMERA
camera fun	2.64088869535	491.535319856	316.013838846	5742	0.608675415681	0.0788533784817	0.169214060555	0.0213914640328
silent camera	2.62422807989	496.421815697	322.975951432	5736	0.605837403531	0.0796515111423	0.169214060555	0.0217053261405
spy camera	2.61397917214	531.644423355	348.01986144	5706	0.604371954784	0.0852316014302	0.169214060555	0.0233017478953
camera permission	2.60296690024	537.340631386	354.417186097	5701	0.602563409988	0.0861351861235	0.169214060555	0.023622097891
device camera	2.59986889491	548.281921008	362.849894844	5684	0.601759165325	0.0879745056398	0.169214060555	0.024135302796
camera flash	2.5996902189	543.451732546	361.46003712	5664	0.600557701605	0.0875482816397	0.169214060555	0.0239705377253
camera application	2.58718064749	573.20853731	381.746116613	5672	0.600246865079	0.0917837305009	0.169214060555	0.025296141928
video camera	2.56297379419	553.079931421	374.464363237	5694	0.596284117757	0.0885341531551	0.169214060555	0.0245700589298
camera gallery	2.54837494373	538.604858594	369.196843667	5697	0.593306729049	0.0863757198873	0.169214060555	0.0240470902032
gallery camera	2.54837494373	538.604858594	369.196843667	5697	0.593306729049	0.0863757198873	0.169214060555	0.0240470902032
front-facing camera	2.53639109973	639.073479675	439.219487545	5626	0.592671471579	0.102005743707	0.169214060555	0.0285632954682
front camera	2.53619886765	691.32401632	472.886209515	5599	0.593813729667	0.109902767254	0.169214060555	0.0308391890502
camera flashlight	2.53248270011	651.340667464	448.239514675	5621	0.59235395294	0.103843318148	0.169214060555	0.0291271802638
camera function	2.53182547976	585.805753877	404.840215243	5667	0.591337139743	0.0936868626558	0.169214060555	0.0262415821864
smartphone camera	2.52646715225	663.902653231	459.627406526	5599	0.590907779872	0.106005583991	0.169214060555	0.0297615973023
ip camera	2.52327187626	602.120018828	418.321294966	5654	0.590058448917	0.0962449596581	0.169214060555	0.0270308419325
camera roll	2.51644117903	577.019622307	402.943738242	5677	0.588817547203	0.0922638010679	0.169214060555	0.025958606674
fast camera	2.51597587098	648.644918808	451.843926137	5620	0.589415260125	0.103474503215	0.169214060555	0.0291512501641
built-in camera	2.50863151369	727.553376373	506.691630635	5569	0.589472408024	0.115547877209	0.169214060555	0.0326943658978
camera image	2.50728925804	711.690471051	497.135100662	5574	0.588745380396	0.113223913002	0.169214060555	0.0320210212104
camera view	2.50557129206	737.065907506	513.475297501	5569	0.589397538086	0.116882049493	0.169214060555	0.0331260418269
camera effect	2.50143067718	747.594885541	521.262873391	5569	0.589187306677	0.118354097277	0.169214060555	0.0336112357006
speed camera	2.50118721224	570.16432803	402.898090828	5677	0.585948359509	0.0912677013267	0.169214060555	0.025775805114
camera feature	2.50065956898	758.192666064	527.96811962	5568	0.589500686464	0.119849758944	0.169214060555	0.0340695818835
back camera	2.4983089023	767.096256931	534.13457755	5568	0.589515892649	0.121086756352	0.169214060555	0.0344687778994
camera distance	2.49491267721	634.265166426	449.448517048	5621	0.585270054349	0.101397007089	0.169214060555	0.028706886797
best camera	2.49395338635	778.77817311	542.70583326	5568	0.589320922052	0.122704489092	0.169214060555	0.0350052715523
toy camera	2.49395338635	778.77817311	542.70583326	5568	0.589320922052	0.122704489092	0.169214060555	0.0350052715523
camera	2.49395338635	778.77817311	542.70583326	5568	0.589320922052	0.122704489092	0.169214060555	0.0350052715523
recent transaction	2.46546588342	260.12042055	183.668285591	6122	0.586135737459	0.0407576798007	0.169214060555	0.0117556808069
perform transaction	2.45467093872	251.993430011	179.547762619	6122	0.583938299089	0.0395346234317	0.169214060555	0.011431251957
transaction history	2.45168931704	262.782681828	187.243689274	6122	0.583927295604	0.0411576548371	0.169214060555	0.0119209125878
late transaction	2.44791060078	256.149486401	183.2260955	6122	0.582985256697	0.0401604708304	0.169214060555	0.0116387799502
financial transaction	2.44632348412	263.260816571	188.269434854	6122	0.583041370406	0.0412294539148	0.169214060555	0.0119607494219
transaction	2.44632348412	263.260816571	188.269434854	6122	0.583041370406	0.0412294539148	0.169214060555	0.0119607494219
team transaction	2.43600027273	225.14054349	163.325801259	6122	0.579562545208	0.0354711766579	0.169214060555	0.0102902266099
camera zoom	2.32268364378	548.592305499	438.456798501	5692	0.555790287713	0.0879070893664	0.169214060555	0.0261463035151
digital camera	2.2438854396	490.521106381	415.187470574	5726	0.541588231426	0.0789060469653	0.169214060555	0.023991644644
camera hardware	2.20084398357	431.81246415	376.830081933	5775	0.533996716153	0.0695707283963	0.169214060555	0.0214204271697
traffic camera	2.11488721974	460.966217407	424.760376691	5765	0.520438497024	0.0740393059182	0.169214060555	0.0234623346162
online banking	2.05720808832	200.368402845	188.031448395	6152	0.515881770307	0.0315423146357	0.169214060555	0.0102884652391
check balance	2.00806050966	230.68312106	225.449317669	6075	0.505737153233	0.0365833671993	0.169214060555	0.012082658439
check	1.98392246268	178.53041617	175.146062407	6206	0.504784533278	0.0279629674436	0.169214060555	0.00936866516322
attendee check-in	1.98392246268	178.53041617	175.146062407	6206	0.504784533278	0.0279629674436	0.169214060555	0.00936866516322
check-in	1.98392246268	178.53041617	175.146062407	6206	0.504784533278	0.0279629674436	0.169214060555	0.00936866516322
checking	1.98392246268	178.53041617	175.146062407	6206	0.504784533278	0.0279629674436	0.169214060555	0.00936866516322
internet banking	1.95563283155	191.277679882	192.51575221	6152	0.498387058995	0.0301543917096	0.169214060555	0.0101664441231
start banking	1.93670677927	217.471002341	220.791348005	6152	0.496211920028	0.0341427101655	0.169214060555	0.0116092911537
bank	1.92389442519	221.52982338	226.725999712	6152	0.494204005766	0.0347577919173	0.169214060555	0.0118740118962
banking	1.92389442519	221.52982338	226.725999712	6152	0.494204005766	0.0347577919173	0.169214060555	0.0118740118962
bank account	1.9204644494	200.011978423	205.861708756	6152	0.4927936566	0.0314879724884	0.169214060555	0.0107513360488
flash	1.83996628534	142.624369217	154.333486497	6238	0.480284883773	0.0223527292885	0.169214060555	0.00786622488711
monthly fee	1.75760205566	164.03863815	187.833345863	6212	0.466188402609	0.0257273594875	0.169214060555	0.00932086524892
fee	1.73684974582	170.533357422	197.856582306	6212	0.462915348742	0.0267187569375	0.169214060555	0.00975841539901
one-time fee	1.73620124862	170.350845394	197.737303068	6212	0.462799049917	0.0266909246327	0.169214060555	0.00975042114014
small fee	1.73173505349	166.713956867	194.207398136	6212	0.461912143896	0.0261359825812	0.169214060555	0.00956057733578
bill reminder	1.64537111954	238.387901536	298.369659766	6049	0.444125837665	0.0379152527679	0.169214060555	0.0142183667003
correct operation	1.50069696128	38.3735076181	52.3795314434	6340	0.422834408797	0.00601619011057	0.169214060555	0.00240399033301
correct order	1.48786475479	42.5774358675	58.6039455354	6340	0.420803069469	0.00667088434027	0.169214060555	0.00268023049463
correct position	1.44886935932	41.4684336798	58.655423755	6340	0.414171354782	0.0064982588429	0.169214060555	0.00265221735676
secure	1.40616281856	173.409586305	252.680726659	6209	0.406978476226	0.0271699244557	0.169214060555	0.0112868616186
security	1.40616281856	173.409586305	252.680726659	6209	0.406978476226	0.0271699244557	0.169214060555	0.0112868616186
correct word	1.39027020728	36.5458578372	53.8906947073	6340	0.404104942183	0.00573129381517	0.169214060555	0.0023956068063
feeding	1.34972042151	242.74556568	368.167221877	6137	0.397348968011	0.0380494117173	0.169214060555	0.0161826915196
r feed	1.34972042151	242.74556568	368.167221877	6137	0.397348968011	0.0380494117173	0.169214060555	0.0161826915196
news feed	1.34972042151	242.74556568	368.167221877	6137	0.397348968011	0.0380494117173	0.169214060555	0.0161826915196
feed	1.34972042151	242.74556568	368.167221877	6137	0.397348968011	0.0380494117173	0.169214060555	0.0161826915196
live feed	1.3446568583	235.278350121	358.467368634	6137	0.396261131136	0.0369221708773	0.169214060555	0.0157279467764
