Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.GET_ACCOUNTS
bangla movie	1.74964197703	29.9699762639	3.96997626389	12093	0.883029410231	0.00247216452095	0.321157055442	0.000899047774305
bangla type	1.7351543611	30.5364220156	4.22737002606	12093	0.878397327283	0.00251877182966	0.321157055442	0.000920870759495
bangla typing	1.7351543611	30.5364220156	4.22737002606	12093	0.878397327283	0.00251877182966	0.321157055442	0.000920870759495
bangla book	1.7253670714	31.2410530561	4.45307568901	12092	0.875243468728	0.00257695552859	0.321157055442	0.000945514787558
bangla natok	1.69021384228	31.7572754052	5.0	12092	0.863972507622	0.00261942520654	0.321157055442	0.000973676866975
bangla	1.69021384228	31.7572754052	5.0	12092	0.863972507622	0.00261942520654	0.321157055442	0.000973676866975
bangla news	1.69021384228	31.7572754052	5.0	12092	0.863972507622	0.00261942520654	0.321157055442	0.000973676866975
free cheat	1.00449465231	203.170634527	112.844786443	11889	0.642913671438	0.0168018332413	0.321157055442	0.00837104768005
cheat guide	0.987733969711	193.702478158	110.244941703	11889	0.637289430675	0.0160313868945	0.321157055442	0.00805137399964
best cheat	0.974118323214	233.377274456	134.961664519	11875	0.633593817438	0.0192740339326	0.321157055442	0.00975706442148
cheat	0.974118323214	233.377274456	134.961664519	11875	0.633593817438	0.0192740339326	0.321157055442	0.00975706442148
local deal	0.902537976256	265.618867032	170.181835657	11798	0.609496188035	0.0220181746422	0.321157055442	0.0115440836716
special deal	0.881784465415	265.08925101	174.739096244	11793	0.602710699902	0.0219843497167	0.321157055442	0.0116507734167
good deal	0.878284597218	260.598159922	172.557485602	11799	0.601627065501	0.0216091909918	0.321157055442	0.0114740177882
late deal	0.873099484779	282.500615609	188.11051598	11790	0.600284601546	0.0234003397145	0.321157055442	0.0124661898119
great deal	0.859101581955	296.116434481	200.612811875	11790	0.596132473884	0.0245005445783	0.321157055442	0.0131580420746
best deal	0.848494037361	333.702306258	228.579932779	11783	0.593478298069	0.027540687047	0.321157055442	0.0148944991931
deal	0.848494037361	333.702306258	228.579932779	11783	0.593478298069	0.027540687047	0.321157055442	0.0148944991931
exclusive deal	0.848494037361	333.702306258	228.579932779	11783	0.593478298069	0.027540687047	0.321157055442	0.0148944991931
live feed	0.738078743952	332.807568935	263.908424382	11771	0.557731940592	0.027496105423	0.321157055442	0.015806627462
single day	0.737362524384	202.721503405	160.649789682	11918	0.557890805525	0.0167252009996	0.321157055442	0.00962547463875
new single	0.737362524384	202.721503405	160.649789682	11918	0.557890805525	0.0167252009996	0.321157055442	0.00962547463875
single	0.737362524384	202.721503405	160.649789682	11918	0.557890805525	0.0167252009996	0.321157055442	0.00962547463875
feeding	0.734280441501	341.777388648	272.136496505	11771	0.556718779154	0.02821626929	0.321157055442	0.0162621886878
news feed	0.734280441501	341.777388648	272.136496505	11771	0.556718779154	0.02821626929	0.321157055442	0.0162621886878
r feed	0.734280441501	341.777388648	272.136496505	11771	0.556718779154	0.02821626929	0.321157055442	0.0162621886878
feed	0.734280441501	341.777388648	272.136496505	11771	0.556718779154	0.02821626929	0.321157055442	0.0162621886878
casually chat	0.720491791463	212.892307928	173.385476382	11849	0.551137850986	0.0176499924302	0.321157055442	0.0102322530346
conference	0.719201982203	132.948323161	107.881934508	11987	0.55204160992	0.010969380365	0.321157055442	0.00637944048287
conference division	0.719201982203	132.948323161	107.881934508	11987	0.55204160992	0.010969380365	0.321157055442	0.00637944048287
entire feed	0.713910377797	299.159957726	244.984077035	11796	0.549780827529	0.0247338570777	0.321157055442	0.0144140296883
local single	0.709574397979	177.288436811	145.998846566	11918	0.548392856531	0.0146576443991	0.321157055442	0.0085636746941
press conference	0.70092731839	117.405641651	97.692384247	11987	0.545823891971	0.00969941400896	0.321157055442	0.00569781001557
twitter feed	0.699979644503	294.249436415	245.457695762	11796	0.545202052876	0.0243377473692	0.321157055442	0.0142964989584
valuable feed	0.69361453122	254.013013715	214.417562525	11796	0.542263948169	0.0210798953848	0.321157055442	0.0124084282864
naughty chat	0.691934809288	216.883531553	183.31081811	11843	0.541945511564	0.0179838827618	0.321157055442	0.0106008940071
chat application	0.688334296969	217.718101421	184.859123967	11843	0.540810775402	0.0180518356859	0.321157055442	0.0106640148708
conference standing	0.676023548613	119.149598685	102.371185122	11987	0.537870969203	0.00984207222238	0.321157055442	0.00586794479106
webcam chat	0.673845147697	217.447617458	188.014495517	11849	0.53629577339	0.0180208479208	0.321157055442	0.0107404337097
anonymous chat	0.671157199148	199.198738466	173.08118559	11851	0.535077842221	0.0165307430018	0.321157055442	0.00986145861187
unique style	0.662912845498	118.069495566	103.32940692	11971	0.533288531425	0.00976663221342	0.321157055442	0.00586471623231
gold coin	0.658102412889	273.503111258	242.125387695	11755	0.530426676984	0.0227379174888	0.321157055442	0.0136586712657
random chat	0.648481342117	212.568233728	190.238609034	11833	0.527717533969	0.0176470075636	0.321157055442	0.0106700972891
unique set	0.632493698799	137.487622013	124.949889906	11968	0.523887080805	0.011357462525	0.321157055442	0.006951802917
private chat	0.631814743642	254.672102988	232.126955978	11827	0.523156522794	0.0210792099651	0.321157055442	0.012894997721
group chat	0.629683100246	291.265457581	265.71425123	11812	0.522937286535	0.0240650309292	0.321157055442	0.014754038537
chat room	0.629109256133	233.194713065	213.446590365	11840	0.52210736283	0.0193150792816	0.321157055442	0.0118312442963
college football	0.628154168246	161.900865062	147.993524179	11941	0.522438839432	0.0133770297606	0.321157055442	0.00820890543936
facebook chat	0.627593701858	280.894173386	257.171888844	11812	0.52204402601	0.0232280353536	0.321157055442	0.0142530280584
live chat	0.627484707095	293.935542257	268.847495838	11812	0.522289270216	0.0242802831083	0.321157055442	0.0149077650419
chat history	0.626641619744	298.644929892	273.340347481	11812	0.522119959562	0.0246597048812	0.321157055442	0.0151515265125
different chat	0.626263114213	300.959676881	275.538146551	11812	0.522048244847	0.0248460892225	0.321157055442	0.01527106099
chat	0.626263114213	300.959676881	275.538146551	11812	0.522048244847	0.0248460892225	0.321157055442	0.01527106099
go chat	0.626263114213	300.959676881	275.538146551	11812	0.522048244847	0.0248460892225	0.321157055442	0.01527106099
chatting	0.626263114213	300.959676881	275.538146551	11812	0.522048244847	0.0248460892225	0.321157055442	0.01527106099
football team	0.620723942728	167.455778416	154.467090681	11941	0.5201736021	0.0138296560256	0.321157055442	0.00852753222688
football game	0.611189169253	159.718837266	149.24571877	11941	0.516948737793	0.0131991197724	0.321157055442	0.00818427474864
free chat	0.61065747136	266.784871537	249.714996999	11822	0.516524568135	0.022068791394	0.321157055442	0.0136817532923
american football	0.609958830241	176.039276092	164.527254866	11941	0.516901280924	0.0145282417661	0.321157055442	0.00902139098191
football fan	0.609881152945	166.523615615	155.775727379	11941	0.516673766902	0.0137537303995	0.321157055442	0.00853750478117
football news	0.609044942316	177.297962005	165.880639918	11941	0.516634664898	0.0146305993268	0.321157055442	0.00909058308184
football	0.609044942316	177.297962005	165.880639918	11941	0.516634664898	0.0146305993268	0.321157055442	0.00909058308184
fantasy football	0.602494672043	138.706440136	131.300045803	11941	0.513715215594	0.0114826002455	0.321157055442	0.00715230022882
annual subscription	0.602247253337	131.324342401	124.113978321	11971	0.514113708662	0.0108511669895	0.321157055442	0.00676639879002
unique combination	0.597793582287	115.710376969	110.101765677	11974	0.51241875487	0.00957098006168	0.321157055442	0.00598162015964
unique way	0.59703295055	153.667652288	146.041695461	11962	0.512722253884	0.0126833829301	0.321157055442	0.0079391101626
unique	0.59703295055	153.667652288	146.041695461	11962	0.512722253884	0.0126833829301	0.321157055442	0.0079391101626
uniqueness	0.59703295055	153.667652288	146.041695461	11962	0.512722253884	0.0126833829301	0.321157055442	0.0079391101626
holiday uniquely	0.59703295055	153.667652288	146.041695461	11962	0.512722253884	0.0126833829301	0.321157055442	0.0079391101626
unique look	0.59703295055	153.667652288	146.041695461	11962	0.512722253884	0.0126833829301	0.321157055442	0.0079391101626
design team	0.593937403941	434.998477213	416.796129149	11631	0.510684704933	0.0360515939095	0.321157055442	0.0225634978242
current subscription	0.593305313199	140.74750623	134.449404266	11971	0.511442900925	0.0116207430973	0.321157055442	0.00728979127694
unique feature	0.592727239277	136.08708356	130.178070555	11968	0.511096106482	0.0112430687767	0.321157055442	0.00705319472636
correct operation	0.591029797026	46.3498590029	44.4031800586	12066	0.510725144659	0.00382666117991	0.321157055442	0.00240399033301
unique part	0.58890133071	150.294811008	144.377354853	11962	0.510040745004	0.0124084505333	0.321157055442	0.00780567841543
available subscription	0.586592863194	149.753331876	144.181917102	11971	0.509477282485	0.0123551175224	0.321157055442	0.0077861579555
subscription	0.586592863194	149.753331876	144.181917102	11971	0.509477282485	0.0123551175224	0.321157055442	0.0077861579555
subscription service	0.585201743633	139.003174095	134.192126156	11971	0.508805144038	0.0114783763552	0.321157055442	0.00723676989354
special team	0.585111691984	441.893750122	427.974575563	11631	0.508000736518	0.0366021402381	0.321157055442	0.0230422591636
correct order	0.584502512764	51.4747411467	49.7066402562	12066	0.508737283806	0.0042479759394	0.321157055442	0.00268023049463
development team	0.583759752228	463.321295607	448.702694312	11631	0.508014373227	0.0383089951294	0.321157055442	0.0241589359201
team member	0.583061789648	460.681188225	446.644174135	11631	0.507735380643	0.0380990187431	0.321157055442	0.0240344722619
support team	0.582887563758	461.47150546	447.4809179	11631	0.507695995523	0.0381618848762	0.321157055442	0.0240775720739
national team	0.582745375192	457.530880002	443.886706881	11631	0.507568175572	0.0378483443972	0.321157055442	0.0238779790438
monthly subscription	0.579266965738	140.308292552	136.473482479	11971	0.506927497435	0.0115848997617	0.321157055442	0.00733177333135
current period	0.57478897439	78.7607690865	77.0662795049	12030	0.505437084245	0.00650444505334	0.321157055442	0.00412775949224
legal	0.571626533141	200.30626362	197.405930122	11871	0.50364627178	0.0165935864144	0.321157055442	0.0105351432741
room number	0.563878384351	190.258040172	188.767541012	11920	0.501966225018	0.015710486064	0.321157055442	0.0100401467824
legal information	0.559128386975	141.501263229	141.620919402	11937	0.499788684568	0.0117151341996	0.321157055442	0.00749972669945
living room	0.558844623126	187.568867968	187.347579585	11920	0.500295116931	0.0154918687652	0.321157055442	0.00993129844385
room	0.558580319498	196.509115717	196.199254641	11920	0.500394518045	0.0162182947118	0.321157055442	0.0104025951725
new room	0.558580319498	196.509115717	196.199254641	11920	0.500394518045	0.0162182947118	0.321157055442	0.0104025951725
legal action	0.555991527296	134.341102788	135.075706341	11937	0.498636678321	0.0111289293911	0.321157055442	0.00713668006488
bangla apps	0.55363175526	1198.89147451	1257.28279133	10375	0.488113360352	0.10358585763	0.321157055442	0.0650624954526
correct position	0.54940897092	49.8051667486	50.3186906863	12066	0.497435556565	0.00411075995884	0.321157055442	0.00265221735676
legal issue	0.544433858099	131.537367675	134.261224047	11937	0.494876089535	0.0108991971163	0.321157055442	0.00704083578506
attractive single	0.54389696659	155.034156067	158.385669911	11911	0.494653315512	0.0128488079896	0.321157055442	0.00830229201819
team name	0.539502028763	506.334222773	518.251625614	11606	0.494184282918	0.0418031911488	0.321157055442	0.0271406280201
expansion team	0.539502028763	506.334222773	518.251625614	11606	0.494184282918	0.0418031911488	0.321157055442	0.0271406280201
team	0.539502028763	506.334222773	518.251625614	11606	0.494184282918	0.0418031911488	0.321157055442	0.0271406280201
team news	0.539502028763	506.334222773	518.251625614	11606	0.494184282918	0.0418031911488	0.321157055442	0.0271406280201
mobile rush	0.539284093655	221.86632695	227.622440824	11865	0.493597043701	0.018355984169	0.321157055442	0.0119066718173
correct word	0.53530174739	44.5671439198	45.8694086247	12066	0.492800119707	0.00368002120711	0.321157055442	0.0023956068063
multiple platform	0.523410856663	126.692327156	132.48497061	11976	0.488824940487	0.0104681110394	0.321157055442	0.00686544191588
push notification	0.51976958739	836.283773452	890.141473044	11102	0.484401960148	0.0700505859403	0.321157055442	0.0457319076712
event date	0.509640193533	475.067636759	509.976271299	11520	0.482280670813	0.0396052486859	0.321157055442	0.0260931871489
digi-media-apps	0.500175597175	1260.96210527	1406.65155486	10386	0.472692925561	0.108265322225	0.321157055442	0.0706633906422
event activity	0.496988682777	518.153621068	564.819182943	11488	0.478454878228	0.043157337264	0.321157055442	0.0286872613708
multiple apps	0.496026614382	1304.21641453	1460.47752074	10362	0.471739890587	0.11179429287	0.321157055442	0.073234985438
top apps	0.494942018552	1494.81490414	1663.66174615	10273	0.473270842133	0.127025698171	0.321157055442	0.0836660393181
photo apps	0.494259746341	1505.85618044	1676.01890399	10273	0.473260621641	0.127844007718	0.321157055442	0.084285848969
special event	0.4920700327	529.838005125	580.678349927	11488	0.477109592051	0.0440876308117	0.321157055442	0.0294168725346
event information	0.491280061978	510.839195924	561.250796865	11488	0.476489100132	0.0425740513381	0.321157055442	0.0283989826174
instant share	0.491171014102	171.660492308	187.455830107	11907	0.47800804807	0.014211881559	0.321157055442	0.00951276316959
current event	0.491030574422	474.593562546	521.847307963	11518	0.476288735832	0.0395738886731	0.321157055442	0.0263950854417
local event	0.489349190402	531.072377382	584.008422702	11488	0.476263583179	0.0441858040876	0.321157055442	0.0295377817828
live event	0.489053769151	575.224684452	631.218916644	11476	0.476793680143	0.0477316371998	0.321157055442	0.0319579243224
late event	0.48899772739	557.571952213	612.734542598	11476	0.476432417221	0.0463347004885	0.321157055442	0.0310006753414
new event	0.48865849238	638.271675085	697.409879269	11474	0.477862161833	0.0526962812763	0.321157055442	0.0353813555761
event	0.48865849238	638.271675085	697.409879269	11474	0.477862161833	0.0526962812763	0.321157055442	0.0353813555761
important event	0.488489197327	559.700616843	615.373151678	11476	0.476311046878	0.0465033681595	0.321157055442	0.0311269573924
instant messenger	0.486682741385	103.838824241	113.913675627	11990	0.476866278475	0.0085860929478	0.321157055442	0.00576812534417
educational apps	0.485576114196	1478.72430498	1666.17645286	10283	0.470197446229	0.125723428524	0.321157055442	0.0833064225539
dating apps	0.482673385689	1606.2575653	1800.81838604	10272	0.471447536903	0.13522669941	0.321157055442	0.0902512768229
connect easily	0.482266036482	236.355881356	261.345808258	11829	0.474894673433	0.0195896319744	0.321157055442	0.0131838014785
free apps	0.480915255942	1579.63104922	1778.49838347	10272	0.470390162404	0.133283852885	0.321157055442	0.0889547146482
social platform	0.480488425357	121.445967166	134.256774804	11976	0.474949803941	0.0100389757884	0.321157055442	0.00677340314084
active apps	0.478897500203	1649.68398231	1852.34582835	10272	0.471065088392	0.138376758246	0.321157055442	0.092766544215
system apps	0.477999480644	1628.42615121	1833.93748281	10269	0.47032210459	0.136872137764	0.321157055442	0.0917158124026
event organizer	0.475171214981	472.863296713	532.592352825	11471	0.470297518275	0.039590481318	0.321157055442	0.0266338812095
owner	0.47321229935	659.436363843	738.430099155	11393	0.471744892161	0.0547139469511	0.321157055442	0.0370285942889
instant	0.472176000879	192.31962564	214.978688959	11900	0.472183701102	0.015904279046	0.321157055442	0.0107890735239
sport team	0.471857975144	523.691869228	592.309774822	11421	0.469257256045	0.0438430622541	0.321157055442	0.0295621743543
