Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.RECEIVE_BOOT_COMPLETED
configurable	1.63431671869	171.401215544	80.5559998542	9560	0.680279051636	0.0176132102405	0.258695133904	0.00667418652216
configure	1.63431671869	171.401215544	80.5559998542	9560	0.680279051636	0.0176132102405	0.258695133904	0.00667418652216
configuration	1.63431671869	171.401215544	80.5559998542	9560	0.680279051636	0.0176132102405	0.258695133904	0.00667418652216
radar image	1.20952837863	159.063530112	119.429802696	9592	0.571157408001	0.0163124288567	0.258695133904	0.00737711140919
browser homepage	1.09527998457	286.651369998	243.253465051	9440	0.54094877238	0.0294707149557	0.258695133904	0.0140368423366
shortcut icon	1.0842025272	586.841236839	508.378630815	9057	0.535820481504	0.0608513996059	0.258695133904	0.029011678304
full featured	1.07290195027	198.904793644	172.357134468	9549	0.535753274394	0.0204048765201	0.258695133904	0.00983449254623
full feature	1.07290195027	198.904793644	172.357134468	9549	0.535753274394	0.0204048765201	0.258695133904	0.00983449254623
widget configuration	1.05611993153	567.668000933	509.96452468	9008	0.526773262165	0.0592823394543	0.258695133904	0.0285458007897
close icon	1.05495299843	803.851446137	716.718394286	8853	0.528651446824	0.0832415669456	0.258695133904	0.0402789287813
special icon	1.05436443379	784.09124021	701.018222332	8853	0.527968651461	0.0813618155796	0.258695133904	0.0393396059056
icon set	1.05217376532	805.629603121	720.229328156	8853	0.527984328438	0.0834103424838	0.258695133904	0.0404190334369
change icon	1.05160030528	798.600858546	714.91010258	8853	0.52764788565	0.0827428392709	0.258695133904	0.0400919435545
weather widget	1.03873760494	599.474169417	545.106697538	9030	0.523749947884	0.0622540918507	0.258695133904	0.0303192198076
icon annoying	1.03249323688	836.612206747	761.071319884	8849	0.52364075413	0.086376801888	0.258695133904	0.0423216213248
icon advertisement	1.03249323688	836.612206747	761.071319884	8849	0.52364075413	0.086376801888	0.258695133904	0.0423216213248
pause icon	1.03249323688	836.612206747	761.071319884	8849	0.52364075413	0.086376801888	0.258695133904	0.0423216213248
icon	1.03249323688	836.612206747	761.071319884	8849	0.52364075413	0.086376801888	0.258695133904	0.0423216213248
new icon	1.03249323688	836.612206747	761.071319884	8849	0.52364075413	0.086376801888	0.258695133904	0.0423216213248
share icon	1.02997718776	650.535310589	596.385368219	8987	0.52171346714	0.0675001740201	0.258695133904	0.0330301363887
icon size	1.02928502547	671.003800084	614.772683226	8979	0.521866598739	0.0695340451657	0.258695133904	0.0340594019578
galaxy phone	1.02507932464	341.191754163	314.117550414	9304	0.52065757617	0.0353742841883	0.258695133904	0.0173587270424
samsung galaxy	1.01292771334	437.797309543	404.017725524	9303	0.520063542828	0.0449447099278	0.258695133904	0.0222991453224
battery efficient	1.00720425936	423.863508937	395.945992435	9258	0.517026831511	0.0437791246019	0.258695133904	0.0217162327189
battery indicator	1.00676727342	454.782727827	424.844497011	9231	0.517017567198	0.0469536371614	0.258695133904	0.0233007662006
low battery	1.00418884759	485.568728139	453.719574975	9223	0.516953875109	0.0500144503001	0.258695133904	0.0248811502507
battery charge	0.999762364711	470.146894053	442.039838798	9223	0.515406415289	0.0485030196273	0.258695133904	0.0241632468769
battery saver	0.999526006312	435.864345137	410.350338438	9247	0.515075374603	0.0450139885886	0.258695133904	0.0224156892155
desktop background	0.99803791162	283.377583726	265.557060705	9458	0.516231916861	0.029090093397	0.258695133904	0.0145409298941
battery saving	0.997985245948	479.851834448	451.531409302	9223	0.51520342208	0.0494547214196	0.258695133904	0.0246717502516
save battery	0.997985245948	479.851834448	451.531409302	9223	0.51520342208	0.0494547214196	0.258695133904	0.0246717502516
battery information	0.996170056084	498.700085593	469.215587002	9223	0.515230923223	0.0512976209102	0.258695133904	0.0256394710761
battery power	0.995596826209	507.612241283	477.435198889	9223	0.515317557898	0.0521665264935	0.258695133904	0.0260932807123
battery level	0.99548477984	484.522989492	456.880845112	9223	0.514681342567	0.0499121135243	0.258695133904	0.0249371893355
battery consumption	0.994544129479	386.24411974	366.680928978	9266	0.512991459638	0.0400159916127	0.258695133904	0.0199445060718
battery usage	0.994231708454	431.652624113	408.79029231	9247	0.513601359091	0.0445984209659	0.258695133904	0.0222627987715
galaxy apps	0.994063393371	383.587292392	363.031733506	9303	0.513765761501	0.0395998384997	0.258695133904	0.0197774635347
battery status	0.993923538338	519.041792983	488.441719845	9223	0.515186389032	0.0532785430419	0.258695133904	0.0266875980193
battery	0.993923538338	519.041792983	488.441719845	9223	0.515186389032	0.0532785430419	0.258695133904	0.0266875980193
battery life	0.992244330356	514.437604341	485.185900766	9223	0.51463136042	0.0528309012333	0.258695133904	0.0264793914097
galaxy theme	0.99157323219	386.033493131	366.192479855	9303	0.513188200081	0.0398423117646	0.258695133904	0.019925988
galaxy ii	0.990140945096	387.754170124	368.302147181	9303	0.512864136241	0.0400127960442	0.258695133904	0.0200274513869
top widget	0.988962949545	677.003557847	645.961227452	8982	0.511732107589	0.0700904139637	0.258695133904	0.0350444964451
on-top-widget	0.988962949545	677.003557847	645.961227452	8982	0.511732107589	0.0700904139637	0.258695133904	0.0350444964451
galaxy series	0.988614631815	418.041169326	396.435481078	9303	0.513263540604	0.0430037443566	0.258695133904	0.0215749688857
desktop	0.988312392624	303.077457378	286.295486336	9458	0.514237140695	0.0310495904475	0.258695133904	0.0156121147443
galaxy note	0.986905015595	425.312362407	403.7358572	9303	0.513012816804	0.0437190281893	0.258695133904	0.0219609604939
galaxy	0.985851951482	433.724690556	411.806146241	9303	0.512961410371	0.0445452351114	0.258695133904	0.0223975745489
galaxy nexus	0.985851951482	433.724690556	411.806146241	9303	0.512961410371	0.0445452351114	0.258695133904	0.0223975745489
widget section	0.984859634854	628.362811869	604.008014158	9000	0.509881278101	0.0652616466731	0.258695133904	0.0326447200346
simple widget	0.982960199679	652.997604403	628.352145484	8984	0.509616991349	0.0677594445084	0.258695133904	0.0339421406026
desktop application	0.981637634086	259.369393571	247.838636034	9458	0.511366891752	0.0266913176876	0.258695133904	0.0134356183838
lock	0.979170133703	177.964061993	170.244314057	9553	0.511084954394	0.0182884307103	0.258695133904	0.00922381860213
smartphone desktop	0.975965824255	269.971641449	259.198280419	9458	0.51017949111	0.0277520999649	0.258695133904	0.0140173749535
galaxy tab	0.971729380539	347.556304809	337.606281929	9310	0.507261066988	0.0359880174487	0.258695133904	0.0181495215157
select widget	0.96880698722	663.527659196	647.20849891	8983	0.50622518887	0.0687840933689	0.258695133904	0.0347205678818
widget size	0.967538828417	685.914212796	668.443020151	8982	0.506449994219	0.070947486469	0.258695133904	0.035876062434
widget list	0.965284268391	729.300229913	709.924896633	8972	0.506731168364	0.0751755138619	0.258695133904	0.0381241590036
widget support	0.964961280385	728.350126779	709.30596845	8972	0.506623335856	0.0750849317045	0.258695133904	0.0380825963611
time widget	0.962541789508	753.015608739	733.741897576	8966	0.506481793796	0.0774785882699	0.258695133904	0.0393832615378
lockscreen widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
new widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
next widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
homescreen widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
news widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
useful widget	0.962287577987	753.862443587	734.695506993	8966	0.506438088818	0.0775589621728	0.258695133904	0.0394309541623
sexy	0.959679419144	91.3544598097	89.1197242491	9645	0.506191288721	0.00938281984153	0.258695133904	0.00478064644801
daily notification	0.956298277022	776.265588723	782.987678806	8666	0.497844452142	0.0822117934969	0.258695133904	0.0413036281828
notification icon	0.95518934444	465.653415935	460.836586022	9176	0.502599504529	0.0482960127115	0.258695133904	0.0245421313861
battery drain	0.950812569509	376.952039587	373.921471926	9286	0.502018028079	0.0390100290307	0.258695133904	0.019890162155
fashion icon	0.937330777227	457.923040836	461.665000617	9182	0.497965415158	0.0475027693579	0.258695133904	0.0243593028384
search icon	0.935928092256	499.943824678	504.398103769	9147	0.497782488729	0.0518240630156	0.258695133904	0.0266043794455
icon request	0.931098877094	471.799259756	477.896798464	9185	0.496789742016	0.0488566912354	0.258695133904	0.0251568450695
real-time notification	0.930468730456	747.784367787	763.529114441	8836	0.494791038776	0.0780260009085	0.258695133904	0.040033733735
limit notification	0.926736847527	797.788667025	813.617991313	8836	0.495088352091	0.0828115183547	0.258695133904	0.0426851383629
star icon	0.923226125689	519.330232574	529.91897831	9145	0.494954132142	0.0537368053529	0.258695133904	0.0277939448196
icon theme	0.9209471138	464.836791792	476.217544764	9183	0.493953190305	0.0481804161724	0.258695133904	0.0249279313543
theme icon	0.9209471138	464.836791792	476.217544764	9183	0.493953190305	0.0481804161724	0.258695133904	0.0249279313543
battery booster	0.916197942245	344.22633544	353.870232459	9318	0.493092719932	0.035625985512	0.258695133904	0.0184921344573
battery widget	0.912886474034	348.228762932	359.171192882	9315	0.492265740293	0.036036481333	0.258695133904	0.0187385752911
type notification	0.912574493975	768.285308139	797.360226609	8836	0.490714718682	0.0799940113699	0.258695133904	0.0414729552793
browser history	0.906189284457	302.830019536	312.226240262	9433	0.492361494924	0.0311046946104	0.258695133904	0.0162924494662
browser	0.905773043259	304.179125238	313.709537039	9433	0.492287921448	0.0312389369987	0.258695133904	0.0163674780079
best browser	0.905773043259	304.179125238	313.709537039	9433	0.492287921448	0.0312389369987	0.258695133904	0.0163674780079
fast browser	0.904700279812	271.848458404	281.561440447	9434	0.491224423286	0.0280087268588	0.258695133904	0.0146594765397
floating on-top-widget	0.903267562047	427.894297166	448.945178322	9163	0.487996160218	0.0446146400855	0.258695133904	0.0232269204919
internet browser	0.902662177166	281.321661671	291.709542593	9434	0.490936025085	0.0289564948509	0.258695133904	0.0151792324512
push notification	0.89067139551	831.418940022	886.748161157	8724	0.483898765988	0.0870102028222	0.258695133904	0.0455131546496
notification bar	0.890580659695	748.801321001	806.012000199	8713	0.481602074533	0.0791394043901	0.258695133904	0.041186016826
desktop widget	0.888165162483	627.740021116	671.280747623	8927	0.483240942888	0.0656993303563	0.258695133904	0.0344102346624
icon pack	0.876415325495	419.443280324	452.881019126	9160	0.480834112483	0.0437857679251	0.258695133904	0.0231073163479
on-top-widget functionality	0.872086939459	457.24162141	494.069256709	9160	0.480643743204	0.0475439465295	0.258695133904	0.0251996206225
notification	0.868974646355	1083.95874116	1164.51056952	8625	0.482087407646	0.111645210373	0.258695133904	0.0595605231829
notification advertisement	0.868974646355	1083.95874116	1164.51056952	8625	0.482087407646	0.111645210373	0.258695133904	0.0595605231829
advertisement notification	0.868974646355	1083.95874116	1164.51056952	8625	0.482087407646	0.111645210373	0.258695133904	0.0595605231829
notification tray	0.868974646355	1083.95874116	1164.51056952	8625	0.482087407646	0.111645210373	0.258695133904	0.0595605231829
edit widget	0.861234759977	538.073624609	585.493395836	9122	0.478897666822	0.0557007788469	0.258695133904	0.0297625763674
beautiful widget	0.858528008083	527.395430941	575.628012896	9130	0.478136193648	0.0546105246194	0.258695133904	0.0292183900781
search widget	0.853393438499	520.675687682	571.683099861	9130	0.476652628806	0.0539522521047	0.258695133904	0.02893589011
notification area	0.852679359608	986.414615877	1080.71774315	8694	0.477189867195	0.101897971835	0.258695133904	0.0547570225696
receive notification	0.852353011063	969.937159053	1064.72751199	8694	0.476706148614	0.100366666617	0.258695133904	0.0538969741474
add widget	0.851890159293	537.669290438	590.741421237	9122	0.476483681761	0.0556612523961	0.258695133904	0.02989088267
notification setting	0.851666253255	982.208247851	1077.67618017	8694	0.476826871686	0.101507555717	0.258695133904	0.0545650294834
