Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_CONTACTS
free ringtone	6.81238618077	283.543580412	398.693463774	1704	0.415608596497	0.142660308537	0.0537469206114	0.0180720257526
free ringtones	6.81238618077	283.543580412	398.693463774	1704	0.415608596497	0.142660308537	0.0537469206114	0.0180720257526
popular ringtones	6.57415864467	306.309412105	450.171618124	1701	0.404913540281	0.152597008841	0.0537469206114	0.0200387017623
popular ringtone	6.57415864467	306.309412105	450.171618124	1701	0.404913540281	0.152597008841	0.0537469206114	0.0200387017623
late ringtones	6.51714585005	299.292835224	446.76000072	1701	0.40116841704	0.149624509948	0.0537469206114	0.0197624655226
alarm setting	6.46063883972	251.146768513	377.941488958	1760	0.399223424584	0.124877394552	0.0537469206114	0.0166641481675
alarm	6.45821659477	260.245829221	390.382223623	1760	0.399991712751	0.128818891967	0.0537469206114	0.0172347236588
next alarm	6.45821659477	260.245829221	390.382223623	1760	0.399991712751	0.128818891967	0.0537469206114	0.0172347236588
ringtone	6.36546763008	324.636159774	496.301499359	1700	0.395445569054	0.160342962466	0.0537469206114	0.0217461169011
iphone rington	6.36546763008	324.636159774	496.301499359	1700	0.395445569054	0.160342962466	0.0537469206114	0.0217461169011
ringtones	6.36546763008	324.636159774	496.301499359	1700	0.395445569054	0.160342962466	0.0537469206114	0.0217461169011
different ringtones	6.36546763008	324.636159774	496.301499359	1700	0.395445569054	0.160342962466	0.0537469206114	0.0217461169011
best ringtones	6.36546763008	324.636159774	496.301499359	1700	0.395445569054	0.160342962466	0.0537469206114	0.0217461169011
feeding	5.07966866209	194.211373184	400.985907263	1829	0.326297480791	0.0959916377289	0.0537469206114	0.0157663977232
r feed	5.07966866209	194.211373184	400.985907263	1829	0.326297480791	0.0959916377289	0.0537469206114	0.0157663977232
news feed	5.07966866209	194.211373184	400.985907263	1829	0.326297480791	0.0959916377289	0.0537469206114	0.0157663977232
feed	5.07966866209	194.211373184	400.985907263	1829	0.326297480791	0.0959916377289	0.0537469206114	0.0157663977232
live feed	5.06786681789	188.121600221	390.402440672	1829	0.325175078171	0.0932623993518	0.0537469206114	0.0153247342029
contact ringtone	4.88801364989	461.663009781	1049.40103952	1426	0.305521801008	0.244568552432	0.0537469206114	0.0400271264152
contact ringtones	4.88801364989	461.663009781	1049.40103952	1426	0.305521801008	0.244568552432	0.0537469206114	0.0400271264152
entire feed	4.81166695153	164.401091109	363.948878543	1849	0.311159459737	0.0816534230735	0.0537469206114	0.0139956549403
valuable feed	4.80245923076	140.619227962	314.689028282	1849	0.308844010697	0.0706764520495	0.0537469206114	0.0120608263687
twitter feed	4.78522606598	162.320342831	361.996169282	1849	0.309584647977	0.0807033764709	0.0537469206114	0.0138888112133
single day	4.63888951441	109.844313564	252.604822742	1919	0.303061319675	0.0541413221456	0.0537469206114	0.00960104729161
single	4.63888951441	109.844313564	252.604822742	1919	0.303061319675	0.0541413221456	0.0537469206114	0.00960104729161
new single	4.63888951441	109.844313564	252.604822742	1919	0.303061319675	0.0541413221456	0.0537469206114	0.00960104729161
contact form	4.40141075421	515.681546272	1277.97713557	1474	0.287502606539	0.259177930879	0.0537469206114	0.0475128786481
contact	4.384695777	530.078889553	1312.80211702	1474	0.287635982824	0.26450001161	0.0537469206114	0.0488167467504
new contact	4.384695777	530.078889553	1312.80211702	1474	0.287635982824	0.26450001161	0.0537469206114	0.0488167467504
go contact	4.384695777	530.078889553	1312.80211702	1474	0.287635982824	0.26450001161	0.0537469206114	0.0488167467504
contact name	4.384695777	530.078889553	1312.80211702	1474	0.287635982824	0.26450001161	0.0537469206114	0.0488167467504
local single	4.37666433131	92.8025323905	229.702083039	1919	0.287755672169	0.046129046413	0.0537469206114	0.00854294231755
specific contact	4.3265017005	414.02692046	1063.69934479	1528	0.280178359279	0.213193193204	0.0537469206114	0.0391440297011
contact page	4.26259856241	399.316400387	1048.51189593	1528	0.275803699515	0.207187776904	0.0537469206114	0.0383520515037
contact detail	4.19012923873	437.979506502	1157.56716543	1526	0.274501219054	0.223006149021	0.0537469206114	0.0422650174016
unique style	4.18245876008	61.601428925	160.507209145	1950	0.277348190779	0.0306230787268	0.0537469206114	0.00588351667691
contact photo	4.18236081478	371.297996725	997.837380376	1550	0.271191587724	0.193253726053	0.0537469206114	0.0362675260815
contact list	4.17971910672	464.912694237	1220.8549095	1526	0.275786943114	0.233517368985	0.0537469206114	0.0446549125517
problem contact	4.17193391395	377.863155483	1015.65503731	1551	0.271157676618	0.195899410702	0.0537469206114	0.0369134113744
alarm volume	4.16972547633	171.521930988	455.241698916	1796	0.273662865559	0.0871766297932	0.0537469206114	0.0166025702605
read contact	4.16164666677	372.907941019	1006.78161332	1551	0.270283948911	0.193828370406	0.0537469206114	0.0365470995296
contact number	4.15815081021	468.032982613	1234.82879096	1526	0.274850836325	0.234716770833	0.0537469206114	0.0451077262477
contact developer	4.15807829252	460.772326624	1218.71326751	1526	0.274353247347	0.231920044612	0.0537469206114	0.0444885061095
emergency contact	4.15614899916	371.49983637	1005.27279326	1550	0.269833833398	0.193338468907	0.0537469206114	0.0364698320476
contact information	4.13066952239	435.437613204	1170.24496038	1526	0.271185364012	0.221999216428	0.0537469206114	0.0425335109953
unique combination	4.09609461664	61.7837488586	164.74727933	1950	0.27273857075	0.0307109294892	0.0537469206114	0.0060006629808
unique set	3.99183982461	70.5318204304	192.905691489	1950	0.267736435546	0.0349075524163	0.0537469206114	0.00697829228152
unique feature	3.86109134108	69.6117837039	197.443205971	1950	0.26066460615	0.0344679033196	0.0537469206114	0.00707411696843
unique	3.85107470846	78.3656610611	222.243452128	1950	0.260689572015	0.0386348785949	0.0537469206114	0.00796294437735
unique look	3.85107470846	78.3656610611	222.243452128	1950	0.260689572015	0.0386348785949	0.0537469206114	0.00796294437735
unique way	3.85107470846	78.3656610611	222.243452128	1950	0.260689572015	0.0386348785949	0.0537469206114	0.00796294437735
uniqueness	3.85107470846	78.3656610611	222.243452128	1950	0.260689572015	0.0386348785949	0.0537469206114	0.00796294437735
holiday uniquely	3.85107470846	78.3656610611	222.243452128	1950	0.260689572015	0.0386348785949	0.0537469206114	0.00796294437735
unique part	3.8135875728	76.4149044693	219.13601445	1950	0.258550725367	0.0377094070424	0.0537469206114	0.00782895602551
attractive single	3.57428849627	76.4193337862	237.000492192	1919	0.243824185492	0.0382973806519	0.0537469206114	0.00830229201819
message tone	3.29564740244	336.669836979	1156.36488547	1597	0.225493641853	0.174109266505	0.0537469206114	0.0395495410043
original sound	2.87978586336	222.448261086	852.119506396	1777	0.207011849618	0.11125482235	0.0537469206114	0.0284646172944
sound play	2.87703798522	225.813376226	864.876482213	1777	0.207037201711	0.11274808672	0.0537469206114	0.0288916812386
different sound	2.87703798522	225.813376226	864.876482213	1777	0.207037201711	0.11274808672	0.0537469206114	0.0288916812386
sound	2.87703798522	225.813376226	864.876482213	1777	0.207037201711	0.11274808672	0.0537469206114	0.0288916812386
new sound	2.87703798522	225.813376226	864.876482213	1777	0.207037201711	0.11274808672	0.0537469206114	0.0288916812386
message ringtone	2.82017502663	385.607088064	1523.02546541	1578	0.20203317153	0.196376907788	0.0537469206114	0.0505584634439
news site	2.78530999554	187.881524225	735.628717385	1841	0.203442816072	0.0926034970408	0.0537469206114	0.0244631994281
various site	2.78530999554	187.881524225	735.628717385	1841	0.203442816072	0.0926034970408	0.0537469206114	0.0244631994281
different site	2.78530999554	187.881524225	735.628717385	1841	0.203442816072	0.0926034970408	0.0537469206114	0.0244631994281
site	2.78530999554	187.881524225	735.628717385	1841	0.203442816072	0.0926034970408	0.0537469206114	0.0244631994281
message notification	2.63051145018	347.988162967	1480.91369964	1579	0.190271643373	0.180586559718	0.0537469206114	0.0484464481103
personal message	2.62597890752	445.526920417	1875.5272071	1522	0.191950250162	0.226440063307	0.0537469206114	0.0614832488548
important message	2.62302060264	450.562256386	1895.71835382	1522	0.192032553322	0.228414720462	0.0537469206114	0.0621514823502
call message	2.60978528601	467.297525614	1964.97499249	1522	0.192123835687	0.234905799458	0.0537469206114	0.0644293533445
message call	2.60978528601	467.297525614	1964.97499249	1522	0.192123835687	0.234905799458	0.0537469206114	0.0644293533445
handcent message	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
message etc	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
messaging	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
message	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
go message	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
new message	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
whatsapp message	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
message mms	2.60716348245	469.151025909	1973.42543639	1522	0.192072196367	0.235618001751	0.0537469206114	0.0647022982782
push message	2.59941612081	362.588932252	1553.04516822	1578	0.189278804424	0.186844790376	0.0537469206114	0.0507439299746
love message	2.5943902056	361.973686845	1553.37489046	1578	0.188985801923	0.18658690543	0.0537469206114	0.0507363666475
secure message	2.59281141076	350.088838514	1506.80681363	1582	0.18853447048	0.181197071033	0.0537469206114	0.0491879858056
send message	2.57701356598	372.120437357	1601.52030198	1578	0.188545174378	0.190819207998	0.0537469206114	0.052280488976
private message	2.57094165955	369.770140074	1595.88167513	1578	0.188115787961	0.189842801502	0.0537469206114	0.0520688674526
music ringtones	2.5698365653	284.460889988	1236.91713038	1640	0.186975811521	0.147813287071	0.0537469206114	0.0403003369545
good place	2.56957106547	64.2193305844	271.485309654	1953	0.191297119214	0.0318355716757	0.0537469206114	0.00889260258637
photo message	2.56467215131	380.619748534	1642.33366808	1575	0.188150525567	0.194628709809	0.0537469206114	0.05358675046
good work	2.55162764881	70.1810185611	298.000094114	1953	0.190615477397	0.0346884524505	0.0537469206114	0.00975288370308
free message	2.54898180391	387.503351816	1678.13235624	1574	0.187595203891	0.197554264415	0.0537469206114	0.0547173772365
text message	2.54538640131	386.136561978	1673.46866524	1577	0.18748086132	0.196693683698	0.0537469206114	0.0545576336313
message text	2.54538640131	386.136561978	1673.46866524	1577	0.18748086132	0.196693683698	0.0537469206114	0.0545576336313
text messaging	2.54538640131	386.136561978	1673.46866524	1577	0.18748086132	0.196693683698	0.0537469206114	0.0545576336313
read message	2.54159529793	384.701522524	1671.69894154	1574	0.187075197291	0.196406403988	0.0537469206114	0.054472741492
unread message	2.53778470718	385.823235718	1678.22187325	1574	0.186925776981	0.196866344212	0.0537469206114	0.0546752432776
facebook message	2.53552155961	401.846894232	1743.97331747	1568	0.187269600706	0.203999049575	0.0537469206114	0.0568414137825
push alert	2.51931959682	116.185524426	501.21711423	1892	0.188184366492	0.0578559714793	0.0537469206114	0.0163546035511
good life	2.51737006126	63.4320238364	273.143389806	1953	0.188463034628	0.031457556261	0.0537469206114	0.0089156688205
good result	2.49607095747	63.2171326062	274.279493238	1953	0.187311895187	0.0313543276584	0.0537469206114	0.00894007114632
good time	2.48372531435	75.2186828921	326.583093969	1953	0.187203460074	0.0370860812626	0.0537469206114	0.0106434737321
particular clip	2.48345565836	46.7122712378	202.987990108	1979	0.187073377441	0.0230596772805	0.0537469206114	0.00661440124357
clip	2.48345565836	46.7122712378	202.987990108	1979	0.187073377441	0.0230596772805	0.0537469206114	0.00661440124357
new clip	2.48345565836	46.7122712378	202.987990108	1979	0.187073377441	0.0230596772805	0.0537469206114	0.00661440124357
news alert	2.4809523	140.511768634	610.800222454	1887	0.187021863488	0.0693025662332	0.0537469206114	0.0199017772003
alert	2.4809523	140.511768634	610.800222454	1887	0.187021863488	0.0693025662332	0.0537469206114	0.0199017772003
vdo clip	2.48091275136	46.1181413748	200.62242287	1979	0.186909442782	0.0227730621896	0.0537469206114	0.00653600074819
good day	2.45677437491	75.0937745474	329.180681765	1953	0.185749491156	0.0370267763206	0.0537469206114	0.0107089734394
good	2.45677437491	75.0937745474	329.180681765	1953	0.185749491156	0.0370267763206	0.0537469206114	0.0107089734394
good way	2.45677437491	75.0937745474	329.180681765	1953	0.185749491156	0.0370267763206	0.0537469206114	0.0107089734394
goodness	2.45677437491	75.0937745474	329.180681765	1953	0.185749491156	0.0370267763206	0.0537469206114	0.0107089734394
good news	2.45677437491	75.0937745474	329.180681765	1953	0.185749491156	0.0370267763206	0.0537469206114	0.0107089734394
