Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_EXTERNAL_STORAGE
document folder	0.207550910374	419.182649694	14.8921242078	29726	0.965692260635	0.0139054606026	0.800879446902	0.0114983649149
music folder	0.206951152859	424.703011455	15.2239504109	29732	0.965394368315	0.014083204364	0.800879446902	0.0116533856551
folder	0.206389498613	512.147067429	18.0	29714	0.966047157278	0.0169438422399	0.800879446902	0.0140432589184
played folder	0.206389498613	512.147067429	18.0	29714	0.966047157278	0.0169438422399	0.800879446902	0.0140432589184
new folder	0.206389498613	512.147067429	18.0	29714	0.966047157278	0.0169438422399	0.800879446902	0.0140432589184
editor	0.202915366933	310.155086667	11.8811073581	29906	0.963106298054	0.010264545101	0.800879446902	0.00853053413221
file folder	0.202008161515	961.895823325	41.7059147605	29001	0.958443759932	0.0321028991656	0.800879446902	0.0265847722732
free ringtone	0.201549365711	665.264020307	27.4801339005	29444	0.960331482072	0.0220949944129	0.800879446902	0.01835035242
free ringtones	0.201549365711	665.264020307	27.4801339005	29444	0.960331482072	0.0220949944129	0.800879446902	0.01835035242
popular ringtones	0.198509343296	736.899958311	31.5371053355	29440	0.958959416682	0.0244193392737	0.800879446902	0.0203554094897
popular ringtone	0.198509343296	736.899958311	31.5371053355	29440	0.958959416682	0.0244193392737	0.800879446902	0.0203554094897
late ringtones	0.198357114474	726.534450475	31.3184144659	29440	0.958674808905	0.0240841204901	0.800879446902	0.0200750407921
conference standing	0.198177521259	209.904043713	8.93595391904	29997	0.959166724476	0.00694887643596	0.800879446902	0.00579693246886
iphone rington	0.197970879937	799.745898366	34.0	29421	0.959220189189	0.0264634731735	0.800879446902	0.022085399019
ringtones	0.197970879937	799.745898366	34.0	29421	0.959220189189	0.0264634731735	0.800879446902	0.022085399019
different ringtones	0.197970879937	799.745898366	34.0	29421	0.959220189189	0.0264634731735	0.800879446902	0.022085399019
ringtone	0.197970879937	799.745898366	34.0	29421	0.959220189189	0.0264634731735	0.800879446902	0.022085399019
best ringtones	0.197970879937	799.745898366	34.0	29421	0.959220189189	0.0264634731735	0.800879446902	0.022085399019
press conference	0.197674822175	203.681499758	8.78194318459	29997	0.958666097739	0.00674426832916	0.800879446902	0.00562802158731
conference	0.19630786981	227.830257669	10	29997	0.957953205374	0.00753785069185	0.800879446902	0.00629997238931
conference division	0.19630786981	227.830257669	10.0	29997	0.957953205374	0.00753785069185	0.800879446902	0.00629997238931
pdf file	0.195767512819	720.331482098	34.6907063233	29281	0.954053394913	0.0240099837745	0.800879446902	0.0200000579699
backup file	0.19560001274	692.761983015	33.6100657282	29296	0.953728855913	0.0231007196432	0.800879446902	0.0192411339764
file explorer	0.194663318919	787.627107691	38.2281810208	29249	0.953710799527	0.0262222221179	0.800879446902	0.0218763817836
sound file	0.194430390777	796.607774295	38.7065395375	29249	0.953662305438	0.0265132854119	0.800879446902	0.022126945348
wedding frame	0.194306830187	374.216743317	17.9224902737	29719	0.95429559519	0.0124352523198	0.800879446902	0.0103875191012
ringtone file	0.19404772889	810.260000448	39.4556346224	29249	0.953566071996	0.0269554207401	0.800879446902	0.0225084271958
vdo clip	0.193981471069	238.439815598	11.0509379828	29962	0.95570602187	0.00789524315056	0.800879446902	0.00660885151601
particular clip	0.193877423485	241.292575982	11.1933047832	29962	0.955667601098	0.007988949396	0.800879446902	0.00668819053178
clip	0.193877423485	241.292575982	11.1933047832	29962	0.955667601098	0.007988949396	0.800879446902	0.00668819053178
new clip	0.193877423485	241.292575982	11.1933047832	29962	0.955667601098	0.007988949396	0.800879446902	0.00668819053178
csv file	0.193760528532	835.422179565	40.6493683184	29241	0.953600401227	0.0277766475872	0.800879446902	0.0232065785776
multiple file	0.193757039723	824.583102704	40.3312798108	29237	0.953369627531	0.0274297963579	0.800879446902	0.0229110323571
file transfer	0.193646498629	812.47715711	39.8195191776	29249	0.953279743679	0.0270271867501	0.800879446902	0.0225767973375
text file	0.19349946254	907.476022725	44.3165239093	29172	0.953438883225	0.0301692762879	0.800879446902	0.0252123797153
temporary file	0.193448447659	787.173311289	39.0520748753	29249	0.95273435611	0.0262075099624	0.800879446902	0.0218861854299
file manager	0.193023360985	929.322676636	45.6329901448	29159	0.953194804954	0.0308864899723	0.800879446902	0.0258259560483
file management	0.193023360985	929.322676636	45.6329901448	29159	0.953194804954	0.0308864899723	0.800879446902	0.0258259560483
file type	0.192944685379	929.251343035	45.6948935278	29159	0.953130858078	0.030884192386	0.800879446902	0.0258257062479
share file	0.192747129189	955.03262181	47.2777974054	29124	0.952831182337	0.0317507758251	0.800879446902	0.0265505660569
image file	0.192594549635	921.026088826	45.7024858911	29159	0.952724593969	0.030619191822	0.800879446902	0.0256080256077
file size	0.192535595866	973.035013718	48.0529895669	29124	0.952939424014	0.0323299292862	0.800879446902	0.0270479723262
large file	0.192003913224	1094.68130812	53.926787636	29037	0.953050315564	0.0363299112627	0.800879446902	0.0304258985392
apk file	0.191273560157	1114.95052476	55.3894811552	29030	0.952672316698	0.0369863113175	0.800879446902	0.0310015630291
file	0.191273560157	1114.95052476	55.3894811552	29030	0.952672316698	0.0369863113175	0.800879446902	0.0310015630291
file name	0.191273560157	1114.95052476	55.3894811552	29030	0.952672316698	0.0369863113175	0.800879446902	0.0310015630291
music file	0.190982507167	824.268626846	42.1664681988	29249	0.951333379223	0.0274086810141	0.800879446902	0.0229513150657
photo frame	0.189847885954	499.247398833	25.1099974117	29683	0.95211281925	0.0165410942478	0.800879446902	0.013889894208
usb storage	0.189132583023	291.966534643	14.9559779015	29873	0.951271160341	0.00967899415063	0.800879446902	0.00813018231423
beautiful frame	0.189128955022	451.909836831	23.3835560778	29683	0.950801849075	0.0149962232931	0.800879446902	0.0125902199388
love frame	0.188648259881	465.55315703	24.1786270533	29683	0.950628838399	0.0154419734375	0.800879446902	0.0129726837457
reading frame	0.188143951386	485.657812826	25.271740915	29683	0.950537719476	0.0160980914643	0.800879446902	0.0135341991932
local storage	0.187207057413	375.955767683	19.7047184089	29819	0.950197911842	0.0124509461307	0.800879446902	0.0104807948423
different frame	0.186889346344	532.040461994	27.8594587096	29682	0.9502420742	0.0176090471138	0.800879446902	0.0148313930943
new frame	0.186889346344	532.040461994	27.8594587096	29682	0.9502420742	0.0176090471138	0.800879446902	0.0148313930943
frame	0.186889346344	532.040461994	27.8594587096	29682	0.9502420742	0.0176090471138	0.800879446902	0.0148313930943
storage	0.186816023877	389.582683607	20.4620846592	29819	0.950097925293	0.0128964237643	0.800879446902	0.0108618253362
external storage	0.186814908151	389.583611171	20.4625125955	29819	0.950097046626	0.0128964540736	0.800879446902	0.0108618612425
internal storage	0.185905715622	372.939025074	19.9967624292	29819	0.949109337797	0.0123522714048	0.800879446902	0.0104086193082
frame rate	0.181250703375	456.546984606	26.7891880644	29683	0.944574419257	0.0151477719569	0.800879446902	0.0128032680636
cache file	0.180627561213	585.77994064	36.105630602	29413	0.941941681442	0.0195267921495	0.800879446902	0.0164733535865
medium file	0.180594030524	809.435888217	50.6539265556	29135	0.941106236017	0.0270312618758	0.800879446902	0.0227832326236
file format	0.179828262205	967.110402047	60.299435508	29032	0.941309267924	0.0322379693626	0.800879446902	0.0272154336986
funny quote	0.173187396969	244.31793962	15.9829500272	29926	0.938598173641	0.00809795707519	0.800879446902	0.00689520515078
funny photo	0.172545044983	265.077975649	17.3996642403	29926	0.938403392753	0.00878001030182	0.800879446902	0.00748265317182
mp file	0.171910778164	318.56901206	21.3196228198	29832	0.937274681669	0.0105659369789	0.800879446902	0.00900343394558
funny image	0.171415054574	251.4770202	16.8252136787	29926	0.937290072336	0.00833326855097	0.800879446902	0.00710715567478
funny sound	0.170481239974	198.693924176	13.4829259472	29973	0.93645430244	0.00658544146295	0.800879446902	0.00562042992564
funny ringtones	0.17025244312	208.503251204	14.1563400359	29973	0.936421602335	0.00690831233516	0.800879446902	0.00589811107626
funny sticker	0.169677727998	170.376168841	11.6664170592	30008	0.935913802798	0.00564563738909	0.800879446902	0.0048221924161
audio file	0.169449002141	1052.53026443	77.3069503803	28847	0.931576912703	0.0352022341195	0.800879446902	0.0299286698316
funny moment	0.168064924564	227.621065578	15.9529277428	29943	0.934504798623	0.00754446072167	0.800879446902	0.0064521202967
mp player	0.166688409796	305.436738352	21.8734000535	29850	0.933172250148	0.0101287453073	0.800879446902	0.00867023756736
paint	0.16612642588	141.103613023	10.0	30086	0.933820245592	0.00466811557038	0.800879446902	0.00400263868569
painting	0.16612642588	141.103613023	10.0	30086	0.933820245592	0.00466811557038	0.800879446902	0.00400263868569
free mp	0.164896131495	395.80563236	28.8146024905	29786	0.932140298258	0.0131140474888	0.800879446902	0.0112479201836
mp	0.164335784154	422.615599098	30.7849254087	29786	0.932102139842	0.0139899029041	0.800879446902	0.0120102917673
best mp	0.164335784154	422.615599098	30.7849254087	29786	0.932102139842	0.0139899029041	0.800879446902	0.0120102917673
mp music	0.164284974189	374.053679822	27.4400677826	29808	0.931655055785	0.0123932481133	0.800879446902	0.0106353142329
mp search	0.162754122974	356.879278277	26.7922085315	29808	0.930168882878	0.0118309533078	0.800879446902	0.0101632138701
jigsaw puzzle	0.162318966322	527.109291051	39.9575324991	29619	0.929536465828	0.0174851515982	0.800879446902	0.0150212397963
unique combination	0.162221443623	210.642297252	15.8887309366	29962	0.929860685913	0.00698123469521	0.800879446902	0.0060006629808
puzzle game	0.16162946898	545.199339945	41.4369567045	29626	0.92936516724	0.0180701911715	0.800879446902	0.0155396227027
funny voice	0.161554363412	190.38084049	14.4621140933	29987	0.929399016321	0.00630872644305	0.800879446902	0.00542615969335
puzzle piece	0.160820476078	503.186618785	38.9477835567	29631	0.928158435642	0.0166981981346	0.800879446902	0.0143607958025
placement puzzle	0.160816020677	461.141802599	36.0329608022	29631	0.927524557852	0.0153243263847	0.800879446902	0.0131698435379
easy puzzle	0.160752958516	521.212642016	40.3207654317	29619	0.928195250902	0.0172929318119	0.800879446902	0.0148746631201
fun puzzle	0.159847935864	342.440324571	26.843400127	29787	0.927309549997	0.0113656384215	0.800879446902	0.00978209119487
unique puzzle	0.159751817849	540.636160468	42.1798769908	29615	0.927627459988	0.0179281961618	0.800879446902	0.0154384264644
