Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_SETTINGS
free ringtone	9.39160946842	528.234087011	142.359473341	2286	0.787711243058	0.187700834642	0.0770555202373	0.0177631267311
free ringtones	9.39160946842	528.234087011	142.359473341	2286	0.787711243058	0.187700834642	0.0770555202373	0.0177631267311
popular ringtones	9.23881191072	582.434376298	161.235496671	2284	0.783189419753	0.203191247326	0.0770555202373	0.0196988205385
popular ringtone	9.23881191072	582.434376298	161.235496671	2284	0.783189419753	0.203191247326	0.0770555202373	0.0196988205385
late ringtones	9.23363135861	573.176164249	160.216577603	2284	0.781540546476	0.200609318887	0.0770555202373	0.0194265930772
iphone rington	9.15691684089	630.749407205	176.452450774	2269	0.78140232331	0.217518591654	0.0770555202373	0.0213816978698
different ringtones	9.15691684089	630.749407205	176.452450774	2269	0.78140232331	0.217518591654	0.0770555202373	0.0213816978698
ringtone	9.15691684089	630.749407205	176.452450774	2269	0.78140232331	0.217518591654	0.0770555202373	0.0213816978698
best ringtones	9.15691684089	630.749407205	176.452450774	2269	0.78140232331	0.217518591654	0.0770555202373	0.0213816978698
ringtones	9.15691684089	630.749407205	176.452450774	2269	0.78140232331	0.217518591654	0.0770555202373	0.0213816978698
alarm setting	6.9750390801	383.41086306	244.235880656	2491	0.61087047276	0.133387633615	0.0770555202373	0.0166255229846
alarm	6.97004452372	397.237088366	251.901073199	2491	0.611945363693	0.137536177333	0.0770555202373	0.0171948019063
next alarm	6.97004452372	397.237088366	251.901073199	2491	0.611945363693	0.137536177333	0.0770555202373	0.0171948019063
alarm volume	4.83178968285	275.342175922	348.0242544	2534	0.441701962969	0.0980094836016	0.0770555202373	0.0165121432062
contact ringtone	4.32916491983	601.067578552	909.546133221	2126	0.397896281404	0.220408024825	0.0770555202373	0.0400141373112
contact ringtones	4.32916491983	601.067578552	909.546133221	2126	0.397896281404	0.220408024825	0.0770555202373	0.0400141373112
music ringtones	4.30300955059	593.172887176	915.973925766	2092	0.393051810526	0.220906776621	0.0770555202373	0.0399752811226
original sound	4.08783388587	415.912636533	651.760641643	2456	0.389550478629	0.144820782931	0.0770555202373	0.028281237502
sound play	4.08245958976	422.16043285	661.529425589	2456	0.389558349709	0.146677171999	0.0770555202373	0.0287054952966
different sound	4.08245958976	422.16043285	661.529425589	2456	0.389558349709	0.146677171999	0.0770555202373	0.0287054952966
new sound	4.08245958976	422.16043285	661.529425589	2456	0.389558349709	0.146677171999	0.0770555202373	0.0287054952966
sound	4.08245958976	422.16043285	661.529425589	2456	0.389558349709	0.146677171999	0.0770555202373	0.0287054952966
mp file	3.67143513818	120.927203225	216.878552997	2756	0.357978515754	0.0420334595501	0.0770555202373	0.00894802278613
high-quality sounding	3.66251280573	277.419756829	505.554163872	2551	0.354315449716	0.0980829511458	0.0770555202373	0.0207399322076
sound quality	3.65043547492	291.987766814	532.164336838	2551	0.354288687149	0.102704545627	0.0770555202373	0.0218306872126
mp song	3.63750521704	119.292292943	216.18993797	2761	0.355584534591	0.0414167316404	0.0770555202373	0.00888647570759
nature sound	3.62779631025	322.247736714	587.004396989	2551	0.35440965687	0.112154525555	0.0770555202373	0.0240848732174
natural sound	3.62779631025	322.247736714	587.004396989	2551	0.35440965687	0.112154525555	0.0770555202373	0.0240848732174
mp video	3.61563030258	116.052419187	212.048250152	2761	0.353709791024	0.0403372626834	0.0770555202373	0.00869094801173
sound effect	3.61325080481	326.06391499	596.249964506	2551	0.353528145069	0.113332176352	0.0770555202373	0.024430861398
mp music	3.6011893687	141.223155404	258.38530841	2749	0.353403814465	0.048862370762	0.0770555202373	0.0105850938709
mp search	3.59026023699	134.465619113	247.371454231	2749	0.352154435753	0.0466333353246	0.0770555202373	0.0101143535003
mp format	3.55773925259	134.549287903	250.246042976	2749	0.349664554389	0.0466609981204	0.0770555202373	0.0101927137868
brightness	3.54718074076	90.6810833871	168.716206659	2805	0.349583773104	0.0313159774077	0.0770555202373	0.00687108736083
bright	3.54718074076	90.6810833871	168.716206659	2805	0.349583773104	0.0313159774077	0.0770555202373	0.00687108736083
mp player	3.51523671612	112.701637155	212.917664771	2766	0.346114731186	0.0391501625944	0.0770555202373	0.00862521990693
mp	3.50400729975	156.128443039	294.420147025	2744	0.346529645152	0.0538350097608	0.0770555202373	0.0119344297008
best mp	3.50400729975	156.128443039	294.420147025	2744	0.346529645152	0.0538350097608	0.0770555202373	0.0119344297008
free mp	3.50285743666	145.925242488	276.027034696	2744	0.345833522838	0.050494469664	0.0770555202373	0.0111769516101
ringtone notification	3.39724115347	580.044292137	1190.88558736	2133	0.32753656644	0.213798312773	0.0770555202373	0.0469095645132
notification ringtones	3.39724115347	580.044292137	1190.88558736	2133	0.32753656644	0.213798312773	0.0770555202373	0.0469095645132
ringtones notification	3.39724115347	580.044292137	1190.88558736	2133	0.32753656644	0.213798312773	0.0770555202373	0.0469095645132
single day	2.89007599798	108.704510519	253.96227205	2800	0.299736606007	0.0373721394268	0.0770555202373	0.0096065581312
single	2.89007599798	108.704510519	253.96227205	2800	0.299736606007	0.0373721394268	0.0770555202373	0.0096065581312
new single	2.89007599798	108.704510519	253.96227205	2800	0.299736606007	0.0373721394268	0.0770555202373	0.0096065581312
unique style	2.730023791	63.3583189782	157.750319092	2828	0.286548366139	0.0219129945128	0.0770555202373	0.00585687216756
unique combination	2.725543671	64.5500553991	160.980972789	2827	0.286213635071	0.0223236859686	0.0770555202373	0.00597401536841
local single	2.70899247661	91.9274443663	230.669591141	2800	0.284960598667	0.031787603989	0.0770555202373	0.0085451641107
unique set	2.63461784335	73.2700966158	188.738794178	2827	0.279647367667	0.0252631976247	0.0770555202373	0.00694026517254
theme song	2.62659678035	224.010951997	584.946789241	2632	0.276913045734	0.0784349065048	0.0770555202373	0.0214282088694
unique way	2.56395516463	82.1092485638	216.92613642	2826	0.274580376393	0.028234581835	0.0770555202373	0.00792104749374
unique	2.56395516463	82.1092485638	216.92613642	2826	0.274580376393	0.028234581835	0.0770555202373	0.00792104749374
uniqueness	2.56395516463	82.1092485638	216.92613642	2826	0.274580376393	0.028234581835	0.0770555202373	0.00792104749374
holiday uniquely	2.56395516463	82.1092485638	216.92613642	2826	0.274580376393	0.028234581835	0.0770555202373	0.00792104749374
unique look	2.56395516463	82.1092485638	216.92613642	2826	0.274580376393	0.028234581835	0.0770555202373	0.00792104749374
unique part	2.53600831292	80.0685841714	213.942664782	2826	0.272331703145	0.0275522004565	0.0770555202373	0.00778796484832
love song	2.53265911771	238.459893957	644.137124633	2627	0.270179809057	0.0832187162904	0.0770555202373	0.0233788148599
unique feature	2.51338077868	71.7973382161	193.871793345	2827	0.270250961391	0.0247679743836	0.0770555202373	0.00703722005618
top song	2.50513864867	246.159594089	671.030862412	2626	0.268384382267	0.0857054025117	0.0770555202373	0.0242951487736
free song	2.50102014244	247.259820913	674.939216499	2626	0.268119799395	0.0860555036178	0.0770555202373	0.0244278193847
bangla song	2.43341310757	200.052099703	564.603657279	2644	0.26162374098	0.0703405186298	0.0770555202373	0.0202547085448
late song	2.42303810418	267.685115722	749.856540114	2626	0.263070424869	0.0925066498313	0.0770555202373	0.0269533178596
song title	2.42242210351	250.190360559	703.886890692	2626	0.262232812103	0.0869867182609	0.0770555202373	0.0252722306434
song list	2.42203328817	269.574898054	755.118176965	2626	0.263078676557	0.0930989207825	0.0770555202373	0.0271427493913
popular song	2.42108360249	268.67890326	753.049274572	2626	0.262965149723	0.0928182061772	0.0770555202373	0.0270642132293
next song	2.41551491774	279.419981108	782.923032635	2626	0.263022373653	0.0961719761428	0.0770555202373	0.0281400459245
new song	2.41551491774	279.419981108	782.923032635	2626	0.263022373653	0.0961719761428	0.0770555202373	0.0281400459245
song	2.41551491774	279.419981108	782.923032635	2626	0.263022373653	0.0961719761428	0.0770555202373	0.0281400459245
old song	2.41551491774	279.419981108	782.923032635	2626	0.263022373653	0.0961719761428	0.0770555202373	0.0281400459245
best song	2.41551491774	279.419981108	782.923032635	2626	0.263022373653	0.0961719761428	0.0770555202373	0.0281400459245
previous song	2.41551491774	279.419981108	782.923032635	2626	0.263022373653	0.0961719761428	0.0770555202373	0.0281400459245
notification sound	2.41549853157	490.255206894	1417.90273213	2279	0.2569259058	0.177035040206	0.0770555202373	0.0505445523158
song lyric	2.37574145417	223.029366067	643.12315629	2627	0.257494333054	0.0782551115868	0.0770555202373	0.0229432221434
animal sound	2.28800964671	281.246911183	847.844789178	2529	0.249091292667	0.100079074925	0.0770555202373	0.0299081293802
attractive single	2.15227288275	75.6950480241	237.724777954	2800	0.241513273092	0.0263223487748	0.0770555202373	0.00830207210157
funny ringtones	2.12675080026	53.5361536421	168.952214817	2848	0.24062450551	0.0184509690065	0.0770555202373	0.00589341938067
good work	2.10279662541	88.1464929095	280.966706953	2814	0.238806124903	0.0303728613028	0.0770555202373	0.00977731510548
good place	2.08464466981	79.7854529731	256.765314887	2814	0.237068105595	0.027571309024	0.0770555202373	0.00891477982254
good life	2.05627429531	79.2481613473	258.170400374	2814	0.234866039802	0.0273907238259	0.0770555202373	0.00893776652154
good result	2.04748599863	79.2351543107	259.101661117	2814	0.234190164055	0.0273863512935	0.0770555202373	0.00896208983438
good time	2.02538982001	93.7220145299	308.39450457	2814	0.233071784118	0.0322321095557	0.0770555202373	0.0106515289018
contact form	2.01228963197	416.46827729	1389.69780546	2454	0.230581385216	0.14508722517	0.0770555202373	0.0478429244211
good day	2.00942343752	93.8035526874	310.792407438	2814	0.231845005715	0.0322592468809	0.0770555202373	0.0107172059792
good	2.00942343752	93.8035526874	310.792407438	2814	0.231845005715	0.0322592468809	0.0770555202373	0.0107172059792
good way	2.00942343752	93.8035526874	310.792407438	2814	0.231845005715	0.0322592468809	0.0770555202373	0.0107172059792
good news	2.00942343752	93.8035526874	310.792407438	2814	0.231845005715	0.0322592468809	0.0770555202373	0.0107172059792
goodness	2.00942343752	93.8035526874	310.792407438	2814	0.231845005715	0.0322592468809	0.0770555202373	0.0107172059792
contact	2.00767965284	428.099190636	1427.64076156	2454	0.230689213825	0.14853728561	0.0770555202373	0.0491560699352
new contact	2.00767965284	428.099190636	1427.64076156	2454	0.230689213825	0.14853728561	0.0770555202373	0.0491560699352
go contact	2.00767965284	428.099190636	1427.64076156	2454	0.230689213825	0.14853728561	0.0770555202373	0.0491560699352
contact name	2.00767965284	428.099190636	1427.64076156	2454	0.230689213825	0.14853728561	0.0770555202373	0.0491560699352
receive notification	1.96182561362	460.599433134	1578.98966643	2387	0.225829522835	0.161750078952	0.0770555202373	0.0540259880155
type notification	1.9616349232	355.191208007	1215.41877884	2501	0.226148573473	0.124358343731	0.0770555202373	0.0416033584139
notification setting	1.96111974423	466.685628107	1598.18614169	2387	0.226011917511	0.163537855575	0.0770555202373	0.0546956921435
notification area	1.9600378204	468.285714096	1603.85322285	2387	0.225991465024	0.164006604237	0.0770555202373	0.054888189684
notification advertisement	1.93052369101	505.524439934	1746.85179451	2368	0.224440496309	0.175924879186	0.0770555202373	0.0596624346907
advertisement notification	1.93052369101	505.524439934	1746.85179451	2368	0.224440496309	0.175924879186	0.0770555202373	0.0596624346907
notification tray	1.93052369101	505.524439934	1746.85179451	2368	0.224440496309	0.175924879186	0.0770555202373	0.0596624346907
notification	1.93052369101	505.524439934	1746.85179451	2368	0.224440496309	0.175924879186	0.0770555202373	0.0596624346907
funny sound	1.92649433152	47.7665444878	164.538428904	2848	0.22499022856	0.0164953022814	0.0770555202373	0.00562367486203
free music	1.90508908695	282.755546812	994.394179394	2562	0.221395769822	0.0993953758623	0.0770555202373	0.0338299885094
volume key	1.90168954137	99.7856698656	347.054269141	2802	0.223314124712	0.0343876775262	0.0770555202373	0.0118361924933
volume	1.90168954137	99.7856698656	347.054269141	2802	0.223314124712	0.0343876775262	0.0770555202373	0.0118361924933
music	1.88687082399	359.184252513	1257.38730831	2543	0.222188897304	0.123763421362	0.0770555202373	0.0428208190514
music today	1.88687082399	359.184252513	1257.38730831	2543	0.222188897304	0.123763421362	0.0770555202373	0.0428208190514
new music	1.88687082399	359.184252513	1257.38730831	2543	0.222188897304	0.123763421362	0.0770555202373	0.0428208190514
